setting,layer,head,baseline_mean_logprob,ablated_mean_logprob,delta_logprob
L8192_p0.10,19,1,-1.0839855613807836,-1.0671034266551336,0.016882134725650033
L8192_p0.90,19,1,-1.3815635544558365,-1.3710298821330071,0.010533672322829313
L8192_p0.10,20,2,-1.0839855613807836,-1.1103585672875247,-0.026373005906741076
L8192_p0.90,20,2,-1.3815635544558365,-1.4004453244308632,-0.018881769975026774
L8192_p0.10,20,5,-1.0839855613807836,-1.0617326661944388,0.022252895186344768
L8192_p0.90,20,5,-1.3815635544558365,-1.3393296872576077,0.04223386719822875
L8192_p0.10,21,11,-1.0839855613807836,-1.083326139797767,0.0006594215830166839
L8192_p0.90,21,11,-1.3815635544558365,-1.378861489146948,0.0027020653088885016
L8192_p0.10,22,7,-1.0839855613807836,-1.0868331762651602,-0.0028476148843765703
L8192_p0.90,22,7,-1.3815635544558365,-1.3944084122776985,-0.012844857821862066
L8192_p0.10,20,11,-1.0839855613807836,-1.1104294404387474,-0.02644387905796375
L8192_p0.90,20,11,-1.3815635544558365,-1.4182866322497527,-0.03672307779391626
L8192_p0.10,21,9,-1.0839855613807836,-1.0240934391816456,0.059892122199137976
L8192_p0.90,21,9,-1.3815635544558365,-1.2911265321075915,0.09043702234824491
L8192_p0.10,18,1,-1.0839855613807836,-1.0475037549932797,0.03648180638750387
L8192_p0.90,18,1,-1.3815635544558365,-1.2790266782045365,0.10253687625129992
L8192_p0.10,23,8,-1.0839855613807836,-1.086907162765662,-0.002921601384878292
L8192_p0.90,23,8,-1.3815635544558365,-1.3850886608163515,-0.0035251063605150623
L8192_p0.10,20,10,-1.0839855613807836,-1.0819779646893342,0.0020075966914494536
L8192_p0.90,20,10,-1.3815635544558365,-1.3818941295146943,-0.00033057505885780714
L8192_p0.10,22,10,-1.0839855613807836,-1.0728519638379415,0.011133597542842155
L8192_p0.90,22,10,-1.3815635544558365,-1.3725771961112816,0.008986358344554857
L8192_p0.10,17,6,-1.0839855613807836,-1.200690605988105,-0.11670504460732145
L8192_p0.90,17,6,-1.3815635544558365,-1.5260912676652274,-0.14452771320939095
L8192_p0.10,20,9,-1.0839855613807836,-1.213227411111196,-0.12924184973041242
L8192_p0.90,20,9,-1.3815635544558365,-1.51542071228226,-0.1338571578264236
L8192_p0.10,20,0,-1.0839855613807836,-1.0784489817917347,0.005536579589048962
L8192_p0.90,20,0,-1.3815635544558365,-1.364701712379853,0.016861842075983402
L8192_p0.10,20,3,-1.0839855613807836,-1.084454733133316,-0.00046917175253247123
L8192_p0.90,20,3,-1.3815635544558365,-1.3819583646953106,-0.0003948102394741859
L8192_p0.10,18,3,-1.0839855613807836,-1.1240546251336734,-0.040069063752889766
L8192_p0.90,18,3,-1.3815635544558365,-1.4606375115613144,-0.07907395710547793
L8192_p0.10,23,4,-1.0839855613807836,-1.1113270262877146,-0.027341464906931012
L8192_p0.90,23,4,-1.3815635544558365,-1.4129006770749886,-0.031337122619152114
L8192_p0.10,17,3,-1.0839855613807836,-1.0438130470613638,0.040172514319419816
L8192_p0.90,17,3,-1.3815635544558365,-1.2851227410137653,0.09644081344207112
L8192_p0.10,0,0,-1.0839855613807836,-0.9837135275204977,0.10027203386028594
L8192_p0.90,0,0,-1.3815635544558365,-1.2322125524282455,0.149351002027591
L8192_p0.10,0,1,-1.0839855613807836,-1.0652901659409204,0.018695395439863205
L8192_p0.90,0,1,-1.3815635544558365,-1.3471865092714626,0.0343770451843739
L8192_p0.10,0,2,-1.0839855613807836,-0.9012221609552702,0.18276340042551342
L8192_p0.90,0,2,-1.3815635544558365,-1.1012874960899353,0.2802760583659012
L8192_p0.10,0,3,-1.0839855613807836,-1.127312654753526,-0.04332709337274232
L8192_p0.90,0,3,-1.3815635544558365,-1.397695714732011,-0.01613216027617459
L8192_p0.10,0,4,-1.0839855613807836,-1.0199059238036474,0.0640796375771362
L8192_p0.90,0,4,-1.3815635544558365,-1.2818211582799752,0.09974239617586123
L8192_p0.10,0,5,-1.0839855613807836,-1.0012478515505792,0.08273770983020445
L8192_p0.90,0,5,-1.3815635544558365,-1.2778432468573253,0.10372030759851114
L8192_p0.10,0,6,-1.0839855613807836,-0.9448610588908195,0.1391245024899641
L8192_p0.90,0,6,-1.3815635544558365,-1.1100564137101174,0.271507140745719
L8192_p0.10,0,7,-1.0839855613807836,-1.0473356671631335,0.03664989421765008
L8192_p0.90,0,7,-1.3815635544558365,-1.3374258533120156,0.04413770114382087
L8192_p0.10,0,8,-1.0839855613807836,-1.162186148762703,-0.07820058738191937
L8192_p0.90,0,8,-1.3815635544558365,-1.478176911920309,-0.09661335746447253
L8192_p0.10,0,9,-1.0839855613807836,-1.1301667233308157,-0.04618116195003208
L8192_p0.90,0,9,-1.3815635544558365,-1.4290292349954448,-0.04746568053960831
L8192_p0.10,0,10,-1.0839855613807836,-1.2853210786978404,-0.2013355173170568
L8192_p0.90,0,10,-1.3815635544558365,-1.5396512900789578,-0.1580877356231214
L8192_p0.10,0,11,-1.0839855613807836,-1.030093923707803,0.05389163767298055
L8192_p0.90,0,11,-1.3815635544558365,-1.3393144796291987,0.042249074826637756
