i,gold_clean,gold_corrupt,lp_base,lp_patch_topK,lp_patch_randK,delta_topK,delta_randK
0,624220,867986,-4.263020833333333,-0.78961181640625,-0.06029637654622396,3.473409016927083,4.202724456787109
1,498083,256293,-4.2734375,-0.838134765625,-0.03247515360514323,3.435302734375,4.2409623463948565
2,833780,297520,-4.127604166666667,-0.7850494384765625,-0.04496892293294271,3.3425547281901045,4.0826352437337246
3,150487,220447,-3.7005208333333335,-1.0335489908854167,-0.05347442626953125,2.666971842447917,3.6470464070638022
4,767332,742654,-4.609375,-0.8833821614583334,-0.034191131591796875,3.7259928385416665,4.575183868408203
5,450219,121027,-3.8046875,-0.8523966471354166,-0.040079752604166664,2.9522908528645835,3.7646077473958335
6,490755,719363,-3.7109375,-0.794464111328125,-0.047093709309895836,2.916473388671875,3.663843790690104
7,655443,810299,-4.3359375,-0.7812906901041666,-0.06448109944661458,3.5546468098958335,4.271456400553386
8,625235,659968,-4.423177083333333,-0.49783070882161456,-0.03960545857747396,3.9253463745117183,4.383571624755859
9,365670,151477,-4.440104166666667,-1.05517578125,-0.08652496337890625,3.384928385416667,4.353579203287761
10,292380,674802,-4.388020833333333,-0.993988037109375,-0.07993062337239583,3.394032796223958,4.3080902099609375
11,423545,314545,-4.184895833333333,-0.9424845377604166,-0.040715535481770836,3.2424112955729165,4.1441802978515625
12,877608,199680,-4.627604166666667,-0.9880574544270834,-0.056079864501953125,3.6395467122395835,4.571524302164714
13,291036,176228,-4.286458333333333,-0.5547688802083334,-0.030340830485026043,3.7316894531249996,4.256117502848307
14,522826,636546,-4.020833333333333,-0.84765625,-0.037450154622395836,3.173177083333333,3.983383178710937
15,124406,455380,-4.21484375,-0.532623291015625,-0.13617960611979166,3.682220458984375,4.078664143880208
16,292240,756414,-4.213541666666667,-1.01873779296875,-0.06577809651692708,3.194803873697917,4.14776357014974
17,367359,798728,-4.369791666666667,-1.1947530110677083,-0.041653951009114586,3.175038655598959,4.328137715657553
18,374204,537044,-4.427083333333333,-0.9740498860677084,-0.035420735677083336,3.4530334472656246,4.39166259765625
19,909794,373139,-4.182291666666667,-0.8934580485026041,-0.06974283854166667,3.288833618164063,4.112548828125
20,419015,820669,-4.627604166666667,-0.6790262858072916,-0.024199803670247395,3.9485778808593754,4.60340436299642
21,809208,890047,-4.375,-0.939910888671875,-0.04475275675455729,3.435089111328125,4.330247243245442
22,514559,317317,-4.244791666666667,-0.8874918619791666,-0.038990020751953125,3.3572998046875004,4.205801645914714
23,203274,951642,-4.135416666666667,-0.9919840494791666,-0.069915771484375,3.1434326171875004,4.065500895182292
24,331376,613618,-4.604166666666667,-1.0159912109375,-0.026479085286458332,3.588175455729167,4.577687581380209
25,768675,540769,-4.868489583333333,-0.8544718424479166,-0.04459317525227865,4.014017740885416,4.823896408081055
26,712441,186994,-4.7421875,-0.48554229736328125,-0.045928001403808594,4.256645202636719,4.696259498596191
27,108018,254019,-4.252604166666667,-0.6729532877604166,-0.06025822957356771,3.5796508789062504,4.1923459370930996
28,968315,684582,-4.325520833333333,-0.90350341796875,-0.05552864074707031,3.422017415364583,4.269992192586263
29,377433,147383,-4.4453125,-1.0313720703125,-0.06192143758138021,3.4139404296875,4.38339106241862
30,245627,439725,-4.6015625,-0.9112141927083334,-0.06981150309244792,3.6903483072916665,4.531750996907552
31,463616,706783,-3.9166666666666665,-0.9427286783854166,-0.02851549784342448,2.97393798828125,3.888151168823242
32,419820,420701,-4.4921875,-0.8109130859375,-0.030517578125,3.6812744140625,4.461669921875
33,105572,245898,-4.40625,-0.9465738932291666,-0.0593414306640625,3.4596761067708335,4.3469085693359375
34,635969,766093,-4.036458333333333,-0.62310791015625,-0.04404385884602865,3.413350423177083,3.9924144744873042
35,341343,916944,-4.9482421875,-0.9092814127604166,-0.05945460001627604,4.038960774739583,4.888787587483724
36,258784,931153,-4.356770833333333,-1.0208740234375,-0.065338134765625,3.335896809895833,4.291432698567708
37,414634,744036,-4.033854166666667,-0.7338307698567709,-0.017482916514078777,3.300023396809896,4.016371250152588
38,803067,634305,-4.609375,-0.8378499348958334,-0.05164337158203125,3.7715250651041665,4.557731628417969
39,227635,945609,-4.174479166666667,-0.801055908203125,-0.059916178385416664,3.373423258463542,4.11456298828125
