layer,head,mean_delta_logprob,std_delta_logprob
23,4,3.225817394256592,0.23438023787887596
21,11,3.1309797604878744,0.26997432019586864
23,2,3.1153965314229333,0.23142431749399325
22,7,3.1044110298156737,0.237261802121822
21,9,3.0924684206644693,0.2472817494782837
20,5,3.079664198557536,0.25018676167647935
20,0,3.0697635332743323,0.23448467039096105
14,3,3.0695506095886236,0.23963289447405475
19,1,3.059720961252848,0.2502250585531394
16,7,3.059215386708577,0.24720802308865428
19,3,3.0524938901265464,0.24646562446732992
22,10,3.049247201283773,0.23860528257703045
16,4,3.032688172658285,0.24211973192951436
18,3,3.029550838470459,0.2547670500210488
17,6,3.022570323944092,0.2443504294097009
18,1,3.0167589505513512,0.2371536708184174
16,10,3.016202068328858,0.24612154731282218
18,9,3.0157727877298997,0.25067519681262945
20,3,3.0143240292867026,0.25060698829793004
21,10,3.013271617889404,0.2452567156555062
20,11,3.0115668296813967,0.24305260077307808
20,9,3.009254105885824,0.2471810427397392
16,2,3.0047258694966636,0.24369413845287227
14,2,3.0020236651102703,0.25037154331550365
14,6,2.998673343658447,0.24407894376342296
23,1,2.9970712979634606,0.2567102108272055
27,5,2.988049920399984,0.2310613023264245
16,11,2.9747031211853026,0.251299971747855
19,4,2.9714957873026533,0.24124090767077538
23,8,2.9437646547953285,0.2487301659938172
