layer,head,event_rate,zscore_within_layer
9,7,1.0,3.3166246703554045
0,9,0.9916666666666667,3.316624669347001
2,3,0.8916666666666667,3.316624655775966
6,6,0.6333333333333333,3.3166246008817266
1,7,0.06666666666666667,3.316622990356376
4,4,0.03333333333333333,3.3166211903593075
7,4,0.15833333333333333,3.2031781701485804
25,4,1.0,3.178830942385031
5,6,0.08333333333333333,2.367567811877279
5,11,0.075,2.0834596744520053
26,3,0.8333333333333334,2.013994496456808
11,3,1.0,1.8243222487972324
11,9,1.0,1.8243222487972324
10,9,1.0,1.7337450011504094
10,11,1.0,1.7337450011504094
10,10,0.9916666666666667,1.714246463180583
19,1,1.0,1.6836817915071884
19,3,1.0,1.6836817915071884
19,4,1.0,1.6836817915071884
8,2,1.0,1.6073081106870029
8,7,1.0,1.6073081106870029
11,0,0.875,1.5208305623060108
22,7,1.0,1.4911859180366684
22,10,1.0,1.4911859180366684
26,0,0.6583333333333333,1.4359459621662434
22,6,0.925,1.3202219274337383
22,9,0.9166666666666666,1.3012259284778573
23,3,1.0,1.2997915968140665
23,4,1.0,1.2997915968140665
23,8,1.0,1.2997915968140665
