layer,head,event_rate,zscore_within_layer
9,7,1.0,3.3166246703554045
0,9,0.9833333333333333,3.3166246683215057
6,6,0.725,3.3166246248381674
2,3,0.4166666666666667,3.3166245023554257
1,7,0.025,3.3166199903623466
4,4,0.008333333333333333,3.316610390417921
5,11,0.25,3.1384805442172987
7,11,0.16666666666666666,3.120564449729149
25,4,1.0,3.0658442085523148
26,3,0.9083333333333333,2.2712679233759467
11,3,1.0,1.7682785390478042
11,9,1.0,1.7682785390478042
10,9,1.0,1.7249831584750759
10,11,1.0,1.7249831584750759
10,10,0.9916666666666667,1.705193676733488
19,1,1.0,1.6943350751982016
19,3,1.0,1.6943350751982016
19,4,1.0,1.6943350751982016
8,2,1.0,1.5702612298588876
8,7,1.0,1.5702612298588876
11,0,0.9083333333333333,1.5429766402502074
18,1,1.0,1.5044545441361437
18,7,1.0,1.5044545441361437
22,7,1.0,1.4552806711171578
22,10,1.0,1.4552806711171578
8,1,0.9333333333333333,1.4085175838648392
22,6,0.95,1.3382078126585708
18,3,0.9,1.2640089788136082
24,6,1.0,1.227294910348112
24,10,1.0,1.227294910348112
