layer,head,far_event,far_detect,far_score,near_event,near_detect,near_score,delta_event_far_minus_near,delta_score_far_minus_near,event_ratio_far_over_near,score_ratio_far_over_near,rank_key,far_retrieval_rate_setting_mean,far_copied_first_rate_setting_mean,near_retrieval_rate_setting_mean,near_copied_first_rate_setting_mean
19,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0
20,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0
20,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0
21,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0
22,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0
20,11,0.975,0.975,0.975,1.0,1.0,1.0,-0.025000000000000022,-0.025000000000000022,0.9750000000249999,0.9750000000249999,1.4625,1.0,1.0,1.0,1.0
21,9,0.925,0.925,0.925,1.0,1.0,1.0,-0.07499999999999996,-0.07499999999999996,0.9250000000749999,0.9250000000749999,1.3875000000000002,1.0,1.0,1.0,1.0
18,1,0.825,0.825,0.825,0.5,0.5,0.5,0.32499999999999996,0.32499999999999996,1.6499999987,1.6499999987,1.2374999999999998,1.0,1.0,1.0,1.0
23,8,0.775,0.775,0.775,1.0,1.0,1.0,-0.22499999999999998,-0.22499999999999998,0.7750000002249999,0.7750000002249999,1.1625,1.0,1.0,1.0,1.0
20,10,0.7,0.7,0.7,0.65,0.65,0.65,0.04999999999999993,0.04999999999999993,1.0769230768047335,1.0769230768047335,1.0499999999999998,1.0,1.0,1.0,1.0
22,10,0.525,0.525,0.525,0.275,0.275,0.275,0.25,0.25,1.9090909057851235,1.9090909057851235,0.7875000000000001,1.0,1.0,1.0,1.0
17,6,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,500000000.99999994,500000000.99999994,0.75,1.0,1.0,1.0,1.0
20,9,0.475,0.475,0.475,0.675,0.675,0.675,-0.20000000000000007,-0.20000000000000007,0.7037037041426611,0.7037037041426611,0.7124999999999999,1.0,1.0,1.0,1.0
20,0,0.225,0.225,0.225,0.0,0.0,0.0,0.225,0.225,225000001.0,225000001.0,0.3375,1.0,1.0,1.0,1.0
