setting,length,needle_frac,layer,head,detect_rate,event_rate,retrieval_score,avg_mass,retrieval_rate,copied_first_rate,avg_prompt_len_tokens,avg_distance_tokens
L8192_p0.10,8192,0.1,0,0,0.0,0.0,0.0,2.3103948478819803e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,1,0.0,0.0,0.0,1.5152600504856568e-29,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,2,0.0,0.0,0.0,3.9804872358217835e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,3,0.0,0.0,0.0,0.0,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,4,0.0,0.0,0.0,1.8292939785169437e-08,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,5,0.0,0.0,0.0,9.655191490764991e-09,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,6,0.0,0.0,0.0,7.4531680723389e-19,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,7,0.0,0.0,0.0,2.038571983575821e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,8,0.0,0.0,0.0,1.2300297919987101e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,9,0.0,0.0,0.0,4.239425788910012e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,10,0.0,0.0,0.0,5.853651041331739e-14,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,0,11,0.0,0.0,0.0,1.6986025457299547e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,0,0.0,0.0,0.0,1.2749644184850694e-08,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,1,0.0,0.0,0.0,2.2966093693455036e-09,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,2,0.0,0.0,0.0,1.619614522496704e-08,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,3,0.0,0.0,0.0,2.249551016575424e-08,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,4,0.0,0.0,0.0,3.7147003000030035e-11,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,5,0.0,0.0,0.0,0.00026653558015823366,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,6,0.0,0.0,0.0,0.0001089785248041153,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,7,0.0,0.0,0.0,6.015272811055184e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,8,0.0,0.0,0.0,0.00012886133044958114,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,9,0.0,0.0,0.0,3.203991800546646e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,10,0.0,0.0,0.0,3.749446477741003e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,1,11,0.0,0.0,0.0,1.1852150782942772e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,0,0.0,0.0,0.0,6.569385732291266e-07,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,1,0.0,0.0,0.0,1.098119537346065e-06,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,2,0.0,0.0,0.0,0.00236356258392334,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,3,0.0,0.0,0.0,2.570411998021882e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,4,0.0,0.0,0.0,6.631133146584034e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,5,0.0,0.0,0.0,0.000283796526491642,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,6,0.0,0.0,0.0,2.8985552489757538e-05,1.0,1.0,8135.25,7251.275
L8192_p0.10,8192,0.1,2,7,0.0,0.0,0.0,3.8050719012971966e-06,1.0,1.0,8135.25,7251.275
