i,gold_clean,gold_corrupt,lp_base,lp_patch_topK,delta_topK,lp_patch_randK_mean,lp_patch_randK_std,delta_randK_mean,delta_randK_std,delta_randK_all
0,624220,867986,-4.263020833333333,-0.78961181640625,3.473409016927083,-0.005420955022176107,0.011407393867618814,4.257599878311156,0.01140739386761876,"[4.2100982666015625, 4.246225992838541, 4.257592519124349, 4.259488741556803, 4.260521252950032, 4.259716987609863, 4.260388374328613, 4.26029364267985, 4.26023515065511, 4.259950955708821, 4.261611620585123, 4.261592864990234, 4.261898835500081, 4.261873881022135, 4.262182712554932, 4.261959234873453, 4.2614162762959795, 4.26186466217041, 4.261738459269205, 4.26134713490804]"
1,498083,256293,-4.2734375,-0.838134765625,3.435302734375,-0.0031982342402140304,0.006231809677991717,4.270239265759786,0.0062318096779917205,"[4.243953704833984, 4.265485763549805, 4.271223068237305, 4.27166748046875, 4.270327568054199, 4.270522435506185, 4.2718931833903, 4.2713925043741865, 4.271445910135905, 4.271592775980632, 4.272545178731282, 4.272378444671631, 4.272705713907878, 4.272525469462077, 4.272916475931804, 4.272640546162923, 4.272197564442952, 4.2724761962890625, 4.272490342458089, 4.2724049886067705]"
2,833780,297520,-4.127604166666667,-0.7850494384765625,3.3425547281901045,-0.004266667366027832,0.008264941793603927,4.123337499300639,0.008264941793603936,"[4.088685671488444, 4.115901947021484, 4.124854882558187, 4.124949296315512, 4.123871167500814, 4.124370257059733, 4.1258649826049805, 4.125107129414877, 4.125049591064453, 4.125159104665121, 4.126165548960368, 4.126048723856608, 4.1264878908793134, 4.126362482706706, 4.126872539520264, 4.126452128092448, 4.126111666361491, 4.126388072967529, 4.126217683156332, 4.125829219818115]"
3,150487,220447,-3.7005208333333335,-1.0335489908854167,2.666971842447917,-0.006522782643636068,0.009235913897132025,3.693998050689698,0.009235913897132053,"[3.65936279296875, 3.6766802469889326, 3.693937301635742, 3.696051915486654, 3.6945533752441406, 3.6941153208414717, 3.6958338419596357, 3.6956609090169272, 3.696551005045573, 3.694017092386882, 3.69759209950765, 3.6979430516560874, 3.698451677958171, 3.6988293329874677, 3.699137369791667, 3.6986672083536787, 3.6974172592163086, 3.6984100341796875, 3.6983381907145185, 3.698410987854004]"
4,767332,742654,-4.609375,-0.8833821614583334,3.7259928385416665,-0.003953083356221515,0.007260188851024139,4.605421916643779,0.007260188851024219,"[4.576016743977864, 4.5959218343098955, 4.604990641276042, 4.605915069580078, 4.60735289255778, 4.607204755147298, 4.607397397359212, 4.607189178466797, 4.607115109761556, 4.606965700785319, 4.60813045501709, 4.608041604359944, 4.608363151550293, 4.608312924702962, 4.60863463083903, 4.6083143552144366, 4.608047644297282, 4.608410040537517, 4.608246326446533, 4.60786787668864]"
5,450219,121027,-3.8046875,-0.8523966471354166,2.9522908528645835,-0.0038152853647867835,0.007932430333763485,3.8008722146352127,0.007932430333763448,"[3.768254597981771, 3.7917378743489585, 3.8021157582600913, 3.802412668863932, 3.801682154337565, 3.8009910583496094, 3.802734375, 3.8026857376098633, 3.802896817525228, 3.8031884829203286, 3.8038787841796875, 3.803891738255819, 3.803941249847412, 3.80385684967041, 3.804154713948568, 3.803959290186564, 3.803663412729899, 3.8038175900777182, 3.803903102874756, 3.803678035736084]"
6,490755,719363,-3.7109375,-0.794464111328125,2.916473388671875,-0.0037496248881022146,0.00823901235172674,3.7071878751118974,0.008239012351726745,"[3.6717987060546875, 3.703432083129883, 3.70861021677653, 3.708978017171224, 3.7087631225585938, 3.7084665298461914, 3.7093257904052734, 3.7086003621419272, 3.708650271097819, 3.7087122599283853, 3.709727923075358, 3.709667364756266, 3.7098639806111655, 3.709802786509196, 3.710275173187256, 3.709942658742269, 3.709592660268148, 3.7099011739095054, 3.709843476613363, 3.7098029454549155]"
7,655443,810299,-4.3359375,-0.7812906901041666,3.5546468098958335,-0.0068904638290405275,0.013574297674228943,4.329047036170959,0.01357429767422892,"[4.27398681640625, 4.311297098795573, 4.328633626302083, 4.331465403238933, 4.331825892130534, 4.331562042236328, 4.332930246988933, 4.33228874206543, 4.3318665822347, 4.332377115885417, 4.333926518758138, 4.334007581075032, 4.33457612991333, 4.33451493581136, 4.334858576456706, 4.33439302444458, 4.333756764729817, 4.33416748046875, 4.334299087524414, 4.334207057952881]"
8,625235,659968,-4.423177083333333,-0.49783070882161456,3.9253463745117183,-0.004382777214050293,0.00948140087024859,4.418794306119283,0.0094814008702486,"[4.379067738850911, 4.410031636555989, 4.419517834981282, 4.421083450317383, 4.421021461486816, 4.4204511642456055, 4.420966784159342, 4.4205325444539385, 4.420513153076172, 4.421136856079102, 4.421988169352213, 4.4220231374104815, 4.4222648938496905, 4.422246615091959, 4.422523021697998, 4.422256310780843, 4.421963373819986, 4.422155857086182, 4.422130107879639, 4.422012011210123]"
9,365670,151477,-4.440104166666667,-1.05517578125,3.384928385416667,-0.008008217811584473,0.01623454303574195,4.432095948855082,0.016234543035741972,"[4.366991678873698, 4.408866882324219, 4.432164510091146, 4.433705647786459, 4.436183929443359, 4.436137517293295, 4.437004407246908, 4.435807228088379, 4.4360761642456055, 4.435501575469971, 4.437907377878825, 4.438138643900554, 4.438399155934652, 4.438422838846843, 4.439164320627849, 4.438512961069743, 4.437899907430014, 4.438578128814697, 4.438286781311035, 4.438169320424398]"
10,292380,674802,-4.388020833333333,-0.993988037109375,3.394032796223958,-0.006517044703165689,0.01152690512363485,4.381503788630168,0.01152690512363484,"[4.3333485921223955, 4.370964050292969, 4.383493423461914, 4.384259541829427, 4.384459495544434, 4.380465189615885, 4.384479204813639, 4.383114814758301, 4.383954366048177, 4.383865038553873, 4.385568936665853, 4.385700225830078, 4.385824044545491, 4.385932922363281, 4.386587142944336, 4.385723749796549, 4.385191758473714, 4.3859926859537754, 4.385494073232015, 4.385656515757242]"
11,423545,314545,-4.184895833333333,-0.9424845377604166,3.2424112955729165,-0.0053494294484456376,0.009166871219647483,4.1795464038848875,0.009166871219647496,"[4.1417897542317705, 4.169485727945963, 4.179316202799479, 4.181148529052734, 4.180034637451172, 4.181238174438477, 4.181942939758301, 4.181573232014974, 4.181580225626627, 4.181200663248697, 4.182861963907877, 4.182832717895508, 4.183168411254883, 4.18319288889567, 4.18380324045817, 4.183250745137532, 4.1829382578531895, 4.18319845199585, 4.18329111735026, 4.183080196380615]"
12,877608,199680,-4.627604166666667,-0.9880574544270834,3.6395467122395835,-0.0052848577499389655,0.011145676453127877,4.622319308916728,0.011145676453127817,"[4.576051076253256, 4.6107419331868496, 4.623558680216472, 4.624720891316732, 4.623256683349609, 4.623618443806967, 4.625206629435222, 4.624602635701498, 4.62503465016683, 4.625059445699057, 4.62642765045166, 4.626187165578207, 4.6265632311503095, 4.626415093739828, 4.6269744237264, 4.626657962799072, 4.62624454498291, 4.626503149668376, 4.626368045806885, 4.626193841298422]"
13,291036,176228,-4.286458333333333,-0.5547688802083334,3.7316894531249996,-0.003117791811625163,0.004956455928065438,4.283340541521708,0.004956455928065434,"[4.263512929280599, 4.276292165120442, 4.283450444539388, 4.284297943115234, 4.284562269846598, 4.283836046854654, 4.284372011820475, 4.28413200378418, 4.284141858418782, 4.2842871348063145, 4.285220781962076, 4.285181363423665, 4.28557268778483, 4.285559972127278, 4.285858631134033, 4.285571893056233, 4.285109361012776, 4.2853312492370605, 4.28532075881958, 4.285199324289957]"
14,522826,636546,-4.020833333333333,-0.84765625,3.173177083333333,-0.003239734967549642,0.006517433730761848,4.017593598365783,0.006517433730761889,"[3.9903182983398433, 4.011617024739583, 4.0179554621378575, 4.01843516031901, 4.018612543741861, 4.019160270690918, 4.019293308258057, 4.018847783406575, 4.018766721089681, 4.018875598907471, 4.019839922587076, 4.019843578338623, 4.020067056020101, 4.020006895065308, 4.020294030507405, 4.020121415456136, 4.019829511642456, 4.019985516866048, 4.0201012293497715, 4.019900639851888]"
15,124406,455380,-4.21484375,-0.532623291015625,3.682220458984375,-0.008267974853515624,0.019314460162807905,4.206575775146485,0.019314460162807846,"[4.124502817789714, 4.193295796712239, 4.208232879638672, 4.210707346598308, 4.210844039916992, 4.211026509602864, 4.211372057596843, 4.210651556650798, 4.210526943206787, 4.209273974100749, 4.212482611338298, 4.212640285491943, 4.213264147440593, 4.213548978169759, 4.21384580930074, 4.213354428609212, 4.212907155354817, 4.213032325108846, 4.213184197743733, 4.21282164255778]"
16,292240,756414,-4.213541666666667,-1.01873779296875,3.194803873697917,-0.005584410826365153,0.01101138006584334,4.207957255840301,0.011011380065843268,"[4.16216786702474, 4.196965535481771, 4.209967931111654, 4.209967931111654, 4.210214296976726, 4.207472483317058, 4.210729598999023, 4.210140228271484, 4.210598786671957, 4.2105038960774746, 4.21209716796875, 4.212095896402995, 4.212167263031006, 4.212194522221884, 4.212755839029948, 4.212320486704509, 4.211410363515219, 4.21194871266683, 4.211953322092692, 4.211472988128662]"
17,367359,798728,-4.369791666666667,-1.1947530110677083,3.175038655598959,-0.004383786519368489,0.00815688760451045,4.365407880147298,0.008156887604510516,"[4.332313537597656, 4.354715347290039, 4.365731239318848, 4.36668586730957, 4.367090225219727, 4.366570472717285, 4.367908159891765, 4.3676629066467285, 4.3671081860860195, 4.36703634262085, 4.368348757425944, 4.368455568949382, 4.368561426798503, 4.3686089515686035, 4.369075616200766, 4.368672529856364, 4.368208249409994, 4.368768374125163, 4.368419329325358, 4.368216514587402]"
18,374204,537044,-4.427083333333333,-0.9740498860677084,3.4530334472656246,-0.004019006093343099,0.005224077027831187,4.42306432723999,0.005224077027831174,"[4.403148015340169, 4.414050420125325, 4.423219998677571, 4.423603693644205, 4.424357732137044, 4.423257191975911, 4.424359957377115, 4.423860549926758, 4.422928810119629, 4.422904968261719, 4.425429979960123, 4.425022761027018, 4.42588726679484, 4.425640106201172, 4.426342964172363, 4.425730546315511, 4.425174872080484, 4.425579865773519, 4.425430138905843, 4.4253567059834795]"
19,909794,373139,-4.182291666666667,-0.8934580485026041,3.288833618164063,-0.003241407871246338,0.008542710159627567,4.17905025879542,0.008542710159627487,"[4.142381032307943, 4.1747372945149746, 4.1808195908864345, 4.180960655212402, 4.180371284484863, 4.180599371592204, 4.181389172871908, 4.181210199991862, 4.1810557047526045, 4.181139787038168, 4.181594371795654, 4.181532859802246, 4.181746006011963, 4.18167511622111, 4.181854168574016, 4.181688229242961, 4.181562423706055, 4.181605815887451, 4.181618054707846, 4.181464036305746]"
20,419015,820669,-4.627604166666667,-0.6790262858072916,3.9485778808593754,-0.0025557200113932293,0.0041437389963470544,4.625048446655273,0.004143738996347099,"[4.608955383300781, 4.618042627970378, 4.62563419342041, 4.625690460205078, 4.626077334086101, 4.625135739644369, 4.626330534617106, 4.625685373942058, 4.625809987386068, 4.6258643468221035, 4.626519362131755, 4.626690864562988, 4.626934210459392, 4.6268150806427, 4.627143859863281, 4.626917044321696, 4.626621166865031, 4.626896381378174, 4.626811822255453, 4.626393159230551]"
