layer,head,mean_delta_logprob,std_delta_logprob
21,11,3.502024586995442,0.24405816627434054
0,8,3.3511758486429857,0.3480969029246881
22,7,3.243800862630208,0.23660701072705032
21,9,3.242730712890625,0.2405964940952846
20,2,3.210515340169271,0.23555028173391582
20,9,3.1744247436523434,0.2398618453279892
17,3,3.1605712890625,0.2521190826906115
20,3,3.1563158671061196,0.24124373255062198
19,1,3.155816650390625,0.24278596744655143
18,3,3.1475191752115883,0.24300652299476927
20,5,3.1217656453450524,0.23727678186928586
22,10,3.117011515299479,0.23550594039864403
0,11,3.115208943684896,0.2376596311312604
23,4,3.112932332356771,0.24483670637888702
0,2,3.09425303141276,0.23833534612634033
0,6,3.0917180379231772,0.23894175720294303
0,7,3.0915285746256513,0.24193206886176255
0,10,3.0900911966959637,0.2424207499082877
0,0,3.089124552408854,0.23914476882716504
0,3,3.0890093485514325,0.2392670813372682
0,1,3.0887835184733072,0.2407647428427213
0,4,3.087713368733724,0.2411088415301608
20,11,3.085918680826823,0.2417089866452953
0,5,3.0848604838053384,0.24021349419443352
23,8,3.0780794779459635,0.24575361601001144
20,10,3.064423370361328,0.23947161636061054
20,0,3.0590680440266924,0.24215215823001968
0,9,3.0432795206705725,0.23881796784532305
18,1,3.0427619934082033,0.24457978948595585
17,6,3.039337158203125,0.24408506596249455
