setting,target_tokens,needle_frac,head,gold_attention,needle_attention,distractor_attention,argmax_in_needle_rate,gold_rank,activation_relative_diff,activation_cosine
8k / 0.1,8192,0.1,L22H7,0.6647656723856926,0.8483294531702995,0.017513323144521566,1.0,1.0,1.12280844199726,0.36069644056260586
8k / 0.1,8192,0.1,L22H10,0.3552837371826172,0.7024280488491058,0.009810695797204972,0.7,3.625,0.6728198783180047,0.7459999319165945
8k / 0.1,8192,0.1,L21H11,0.530865478515625,0.7159848749637604,0.1097879409790039,0.925,1.125,0.2763386445939653,0.9596675366163254
8k / 0.1,8192,0.1,L20H7,0.001502872258424759,0.008345169061794878,0.008306220173835754,0.0,50.7,0.036330908893847186,0.9993540316820144
8k / 0.1,8192,0.1,L18H3,0.00422348827123642,0.07965495437383652,0.018864715099334718,0.0,61.2,0.05562173284567247,0.9984693020582199
8k / 0.1,8192,0.1,L17H10,0.0005707204341888428,0.07902792692184449,0.006921100616455078,0.0,100.375,0.025432083559463154,0.9996766403317452
8k / 0.1,8192,0.1,L22H0,3.2870077120605856e-05,0.000286480100476183,9.02080602827482e-05,0.0,863.65,0.16295384561298293,0.9863828867673874
8k / 0.1,8192,0.1,L22H4,0.006144881248474121,0.03599182777106762,0.009309297800064087,0.0,27.475,0.1474017865061074,0.9897530168294907
8k / 0.5,8192,0.5,L22H7,0.520812539756298,0.8053062647581101,0.021560281328856946,1.0,1.05,1.0113392912498873,0.46897942535579207
8k / 0.5,8192,0.5,L22H10,0.2638713836669922,0.6647628426551819,0.0128182552754879,0.7,4.025,0.5864120111765605,0.8057536616921425
8k / 0.5,8192,0.5,L21H11,0.479339599609375,0.6415558293461799,0.1032677173614502,0.625,1.325,0.2652366069599944,0.9635346084833145
8k / 0.5,8192,0.5,L20H7,0.0007074840366840362,0.0036811540834605695,0.009204377979040146,0.0,52.8,0.033232713828317884,0.9994544088840485
8k / 0.5,8192,0.5,L18H3,0.0089088574051857,0.12564729303121566,0.017005759477615356,0.0,41.25,0.049352965742161914,0.9987609654664993
8k / 0.5,8192,0.5,L17H10,0.0009440720081329345,0.11999803185462951,0.006289184093475342,0.0,98.2,0.025957166225535826,0.9996610105037689
8k / 0.5,8192,0.5,L22H0,0.0006039468804374337,0.007796845608390867,0.0003374118823558092,0.0,107.65,0.14635780761152142,0.9887656569480896
8k / 0.5,8192,0.5,L22H4,0.012963426113128663,0.08310333788394927,0.009142309427261353,0.0,22.625,0.12410620532840413,0.9923033282160759
8k / 0.9,8192,0.9,L22H7,0.6896971434354782,0.8934789806604385,0.009310045299935154,1.0,1.0,1.1097604523493005,0.35563402697443963
8k / 0.9,8192,0.9,L22H10,0.18538036346435546,0.5892547935247421,0.016173772886395453,0.525,5.5,0.5419804114326988,0.8333403706550598
8k / 0.9,8192,0.9,L21H11,0.6954742431640625,0.8172640651464462,0.06717481613159179,1.0,1.0,0.2909627440678344,0.9545259848237038
8k / 0.9,8192,0.9,L20H7,0.0013341382145881653,0.010744201391935349,0.008377555012702941,0.0,46.0,0.03991357936852885,0.9991887360811234
8k / 0.9,8192,0.9,L18H3,0.007090310752391815,0.16343583390116692,0.011059483885765076,0.0,44.125,0.05385869933906371,0.9985892653465271
8k / 0.9,8192,0.9,L17H10,0.0010010331869125366,0.10566785037517548,0.005576121807098389,0.0,97.075,0.028891121804761742,0.9995856016874314
