setting,target_tokens,needle_frac,group,group_label,n_heads,mean_delta_logprob,ci_low,ci_high,std,negative_examples,n
8k / 0.1,8192,0.1,answer_address,Address heads,3,-0.16251763006051384,-0.1898340651168665,-0.13520119500416117,0.08814505340218814,39,40
8k / 0.1,8192,0.1,non_address_core,Non-address core,16,-1.2688809752464294,-1.3231249632653865,-1.2146369872274723,0.17503525664366232,40,40
8k / 0.1,8192,0.1,core19,Core 19,19,-1.3731393655141195,-1.4181660265688503,-1.3281127044593888,0.14529265751566195,40,40
8k / 0.1,8192,0.1,strong13,Strong 13,13,-1.2934482405583063,-1.347747051772758,-1.2391494293438545,0.1752121608950627,40,40
8k / 0.1,8192,0.1,query_tail,Query-tail support,9,-1.0145651976267498,-1.0491444200829174,-0.9799859751705822,0.11158071701952202,40,40
8k / 0.1,8192,0.1,first_token_sink,First-token/sink,6,-0.3763022561868032,-0.4000773107103398,-0.35252720166326657,0.07671767733578065,40,40
8k / 0.1,8192,0.1,answer_address_inactive_control,Address inactive control,3,0.010692515969276412,0.0030114914966562784,0.018373540441896548,0.024785236833646182,13,40
8k / 0.1,8192,0.1,query_tail_inactive_control,Query-tail inactive control,9,0.024084339539209985,0.0030365384349377578,0.04513214064348221,0.06791733798745656,19,40
8k / 0.5,8192,0.5,answer_address,Address heads,3,-0.12617097894350685,-0.15352752146427112,-0.09881443642274257,0.08827447272740739,38,40
8k / 0.5,8192,0.5,non_address_core,Non-address core,16,-1.3643178795774777,-1.4126212012022328,-1.3160145579527227,0.15586583151621544,40,40
8k / 0.5,8192,0.5,core19,Core 19,19,-1.3959676017363867,-1.443807319198875,-1.3481278842738984,0.15436986714325926,40,40
8k / 0.5,8192,0.5,strong13,Strong 13,13,-1.329661006728808,-1.384632447514863,-1.2746895659427528,0.1773826113724601,40,40
8k / 0.5,8192,0.5,query_tail,Query-tail support,9,-0.9881133526563645,-1.020892210103485,-0.955334495209244,0.10577127411313583,40,40
8k / 0.5,8192,0.5,first_token_sink,First-token/sink,6,-0.4433404783407847,-0.47126888638900294,-0.4154120702925665,0.09011977638259931,40,40
8k / 0.5,8192,0.5,answer_address_inactive_control,Address inactive control,3,0.005257874727249173,-0.003145121879094971,0.013660871333593318,0.02711490657827836,16,40
8k / 0.5,8192,0.5,query_tail_inactive_control,Query-tail inactive control,9,-0.009875686963399233,-0.032120634419616274,0.012369260492817807,0.07178030652287201,26,40
8k / 0.9,8192,0.9,answer_address,Address heads,3,-0.09398101468880968,-0.11637683704132007,-0.07158519233629929,0.07226715174126865,38,40
8k / 0.9,8192,0.9,non_address_core,Non-address core,16,-1.1980452289183936,-1.2407644005849818,-1.1553260572518054,0.1378468185940307,40,40
8k / 0.9,8192,0.9,core19,Core 19,19,-1.2381239841381708,-1.278884257808064,-1.1973637104682777,0.13152581923331888,40,40
8k / 0.9,8192,0.9,strong13,Strong 13,13,-1.2614927262067794,-1.3130192572317594,-1.2099661951817995,0.16626652853700705,40,40
8k / 0.9,8192,0.9,query_tail,Query-tail support,9,-0.9560619423786798,-0.9875288121170402,-0.9245950726403194,0.10153773388678118,40,40
8k / 0.9,8192,0.9,first_token_sink,First-token/sink,6,-0.40417473415533695,-0.4322746665086141,-0.37607480180205977,0.0906732534010318,40,40
8k / 0.9,8192,0.9,answer_address_inactive_control,Address inactive control,3,-0.00393436551094053,-0.013059632632420543,0.005190901610539483,0.029445539144209446,20,40
8k / 0.9,8192,0.9,query_tail_inactive_control,Query-tail inactive control,9,-0.010691424210866256,-0.025849666417717646,0.004466817995985131,0.04891282724300773,25,40
16k / 0.1,16384,0.1,answer_address,Address heads,3,-0.1900510589281718,-0.22308751863650325,-0.15701459921984037,0.10660250868031557,38,40
16k / 0.1,16384,0.1,non_address_core,Non-address core,16,-1.3490260283152262,-1.4064673779286228,-1.2915846787018297,0.18535254760445488,40,40
16k / 0.1,16384,0.1,core19,Core 19,19,-1.4870924601952233,-1.5434229778653497,-1.430761942525097,0.18176809960608242,40,40
16k / 0.1,16384,0.1,strong13,Strong 13,13,-1.4047041535377502,-1.4636116903797611,-1.3457966166957394,0.19008366099085422,40,40
16k / 0.1,16384,0.1,query_tail,Query-tail support,9,-1.0429033935070038,-1.0803055098942627,-1.005501277119745,0.12068967050453734,40,40
16k / 0.1,16384,0.1,first_token_sink,First-token/sink,6,-0.36646316846211746,-0.3913970173840621,-0.34152931954017285,0.08045689125293759,40,40
16k / 0.1,16384,0.1,answer_address_inactive_control,Address inactive control,3,0.035847757260004644,0.02896206403494789,0.0427334504850614,0.022218850877928298,2,40
16k / 0.1,16384,0.1,query_tail_inactive_control,Query-tail inactive control,9,-0.0420159975687663,-0.05818695826810863,-0.025845036869423965,0.05218068139080724,30,40
16k / 0.5,16384,0.5,answer_address,Address heads,3,-0.18618793189525606,-0.2123949120878071,-0.15998095170270504,0.08456504898304007,40,40
16k / 0.5,16384,0.5,non_address_core,Non-address core,16,-1.27369367480278,-1.320364815571127,-1.2270225340344332,0.15059908757787469,40,40
16k / 0.5,16384,0.5,core19,Core 19,19,-1.408576856056849,-1.4529968028716342,-1.3641569092420638,0.1433349035492475,40,40
16k / 0.5,16384,0.5,strong13,Strong 13,13,-1.348634878794352,-1.395476930413972,-1.301792827174732,0.15115058509507995,40,40
16k / 0.5,16384,0.5,query_tail,Query-tail support,9,-0.9462075372536978,-0.9790241647219936,-0.9133909097854019,0.10589315094393885,40,40
16k / 0.5,16384,0.5,first_token_sink,First-token/sink,6,-0.4032650351524353,-0.4290226332134552,-0.3775074370914154,0.08311497645710161,40,40
16k / 0.5,16384,0.5,answer_address_inactive_control,Address inactive control,3,0.03864729702472687,0.032004998432691174,0.04528959561676257,0.02143346168343098,2,40
16k / 0.5,16384,0.5,query_tail_inactive_control,Query-tail inactive control,9,-0.022611724336942078,-0.04273728963032522,-0.0024861590435589324,0.06494145461788327,28,40
16k / 0.9,16384,0.9,answer_address,Address heads,3,-0.11970757047335304,-0.14602476397026798,-0.0933903769764381,0.08492068680981908,37,40
16k / 0.9,16384,0.9,non_address_core,Non-address core,16,-1.3289378682772317,-1.3785459936482505,-1.279329742906213,0.1600761904322502,40,40
16k / 0.9,16384,0.9,core19,Core 19,19,-1.3878672242164611,-1.4359690164940009,-1.3397654319389214,0.15521553380951394,40,40
16k / 0.9,16384,0.9,strong13,Strong 13,13,-1.3534508665402731,-1.401605798559435,-1.3052959345211113,0.15538700586849258,40,40
16k / 0.9,16384,0.9,query_tail,Query-tail support,9,-0.9571359813213348,-0.9997661158066652,-0.9145058468360044,0.13755951217646303,40,40
16k / 0.9,16384,0.9,first_token_sink,First-token/sink,6,-0.4860613862673441,-0.5172232040561505,-0.45489956847853763,0.1005533880038574,40,40
16k / 0.9,16384,0.9,answer_address_inactive_control,Address inactive control,3,0.027876282731692008,0.01946248919219011,0.036290076271193905,0.02714974627268968,7,40
16k / 0.9,16384,0.9,query_tail_inactive_control,Query-tail inactive control,9,-0.07984266479810076,-0.097736296588365,-0.06194903300783652,0.05773942047921565,35,40
