setting,target_tokens,needle_frac,group,group_label,n_heads,mean_delta_patch,ci_low,ci_high,std,mean_recovery_fraction,positive_examples,n
8k / 0.1,8192,0.1,answer_address,Address heads,3,0.5074848175048828,0.4485595710843534,0.5664100639254123,0.19014080650567045,0.1689910795789416,38,40
8k / 0.1,8192,0.1,non_address_core,Non-address core,16,0.03488972981770837,0.02408121892080258,0.045698240714614154,0.034877053621399666,0.01176161691426322,34,40
8k / 0.1,8192,0.1,core19,Core 19,19,0.5160507202148439,0.45873082345930427,0.5733706169703835,0.1849606418297968,0.17198288285328486,40,40
8k / 0.1,8192,0.1,strong13,Strong 13,13,0.47458648681640636,0.41949242370692025,0.5296805499258925,0.17777829079493346,0.15757074317034842,39,40
8k / 0.1,8192,0.1,query_tail,Query-tail support,9,0.012876892089843817,0.0029507497253572212,0.022803034454330413,0.03202981454170092,0.004293614962811365,20,40
8k / 0.1,8192,0.1,first_token_sink,First-token/sink,6,0.010887145996093795,0.0011100945226898869,0.020664197469497703,0.03154872597618522,0.003916663157023007,22,40
8k / 0.1,8192,0.1,answer_address_inactive_control,Address inactive control,3,-0.004893493652343661,-0.011907194460669457,0.0021202071559821333,0.022631907531911803,-0.0014812101531464631,17,40
8k / 0.1,8192,0.1,query_tail_inactive_control,Query-tail inactive control,9,-0.0013865152994791742,-0.012273951461473458,0.009500920862515111,0.03513173076692234,-4.060218232908299e-05,20,40
8k / 0.5,8192,0.5,answer_address,Address heads,3,0.3728988647460937,0.31492430194345994,0.43087342754872743,0.18707312735591566,0.12884285892056369,39,40
8k / 0.5,8192,0.5,non_address_core,Non-address core,16,0.03555781046549469,0.02317944318055644,0.047936177750432934,0.03994268809644831,0.01207764875198939,33,40
8k / 0.5,8192,0.5,core19,Core 19,19,0.3861719767252603,0.3275495918391552,0.44479436161136543,0.18916352868481906,0.13338966738315966,39,40
8k / 0.5,8192,0.5,strong13,Strong 13,13,0.3491146087646484,0.29456446071775777,0.403664756811539,0.17602317808934695,0.12048510194425366,39,40
8k / 0.5,8192,0.5,query_tail,Query-tail support,9,0.016319274902343705,0.007007231053494425,0.025631318751192983,0.030048232891555563,0.005239017834615329,29,40
8k / 0.5,8192,0.5,first_token_sink,First-token/sink,6,0.014805348714192635,0.007095132587967796,0.022515564840417474,0.02487943286839877,0.004906438685224828,31,40
8k / 0.5,8192,0.5,answer_address_inactive_control,Address inactive control,3,0.0030016581217447323,-0.002973542240884265,0.00897685848437373,0.019280859818134367,0.0005644605879149061,22,40
8k / 0.5,8192,0.5,query_tail_inactive_control,Query-tail inactive control,9,0.016798146565755158,0.005095174722967928,0.028501118408542386,0.03776331266941391,0.005278730241846695,26,40
8k / 0.9,8192,0.9,answer_address,Address heads,3,0.4898701985677084,0.4399178539244652,0.5398225432109516,0.16118692197791795,0.16346797808446115,39,40
8k / 0.9,8192,0.9,non_address_core,Non-address core,16,0.03612162272135413,0.02616205211241405,0.04608119333029421,0.032137681266857954,0.012013125428216913,33,40
8k / 0.9,8192,0.9,core19,Core 19,19,0.500250244140625,0.4483294039530478,0.5521710843282023,0.16753889083913062,0.16708117580975937,39,40
8k / 0.9,8192,0.9,strong13,Strong 13,13,0.4784721374511718,0.42856649970982474,0.5283777751925188,0.16103620749583447,0.15961232431340192,39,40
8k / 0.9,8192,0.9,query_tail,Query-tail support,9,0.016161600748697925,0.00782857746504985,0.024494624032346,0.02688911568524822,0.005384140610307609,29,40
8k / 0.9,8192,0.9,first_token_sink,First-token/sink,6,0.015725199381510492,0.007684953903183021,0.02376544485983796,0.025944376182025292,0.0052415822092369444,30,40
8k / 0.9,8192,0.9,answer_address_inactive_control,Address inactive control,3,0.009342447916666718,0.0032936960047482205,0.015391199828585216,0.019518196982612895,0.0029150983152779514,29,40
8k / 0.9,8192,0.9,query_tail_inactive_control,Query-tail inactive control,9,0.011168416341145914,0.0021500557911755605,0.020186776891116268,0.02910057152909701,0.003783094613182007,27,40
16k / 0.1,16384,0.1,answer_address,Address heads,3,0.4609507242838542,0.3839929928158756,0.5379084557518328,0.2483282806106386,0.15417417075478215,39,40
16k / 0.1,16384,0.1,non_address_core,Non-address core,16,0.024019368489583304,0.012891116146563658,0.03514762083260295,0.035908799776579035,0.008046241693278075,27,40
16k / 0.1,16384,0.1,core19,Core 19,19,0.4703938802083334,0.39403589069303163,0.5467518697236352,0.24639302491796952,0.15710495202720237,39,40
16k / 0.1,16384,0.1,strong13,Strong 13,13,0.4218310038248698,0.35299287038824595,0.4906691372614937,0.22212784850441392,0.1407819840227132,39,40
16k / 0.1,16384,0.1,query_tail,Query-tail support,9,0.015716552734375,0.005883753839297779,0.02554935162945222,0.031728612533501045,0.00521356332751659,24,40
16k / 0.1,16384,0.1,first_token_sink,First-token/sink,6,0.015537516276041585,0.006431263155418166,0.024643769396665002,0.029384184501210237,0.005036401289076927,26,40
16k / 0.1,16384,0.1,answer_address_inactive_control,Address inactive control,3,0.006178792317708348,-0.0013836516846776944,0.01374123632009439,0.024402599719407888,0.0021807068988745834,22,40
16k / 0.1,16384,0.1,query_tail_inactive_control,Query-tail inactive control,9,0.017613983154296874,0.0061242410012054185,0.029103725307388327,0.03707526013450617,0.006093042594707221,25,40
16k / 0.5,16384,0.5,answer_address,Address heads,3,0.5380215962727866,0.46711485045317686,0.6089283420923963,0.22880287577611164,0.1787572448173158,39,40
16k / 0.5,16384,0.5,non_address_core,Non-address core,16,0.04138285319010415,0.029652664674207355,0.05311304170600095,0.03785113580957563,0.013246293565700692,35,40
16k / 0.5,16384,0.5,core19,Core 19,19,0.5444234212239583,0.47311265198076313,0.6157341904671534,0.23010658419099836,0.18101327855046737,39,40
16k / 0.5,16384,0.5,strong13,Strong 13,13,0.5097821553548177,0.44095606465353615,0.5786082460560994,0.22208898883814845,0.1691961417419622,38,40
16k / 0.5,16384,0.5,query_tail,Query-tail support,9,0.026380411783854196,0.014423135700691547,0.03833768786701684,0.038583905136990726,0.007991032168472566,29,40
16k / 0.5,16384,0.5,first_token_sink,First-token/sink,6,0.01331685384114587,0.005904103372375911,0.020729604309915828,0.023919566538565227,0.004015491553873045,28,40
16k / 0.5,16384,0.5,answer_address_inactive_control,Address inactive control,3,0.0037261962890625887,-0.004385939728779044,0.011838332306904223,0.026176353577008038,0.0011030889758891504,18,40
16k / 0.5,16384,0.5,query_tail_inactive_control,Query-tail inactive control,9,0.0026794433593749557,-0.007296200610104128,0.012655087328854038,0.03218954701069094,0.0002430794873823648,20,40
16k / 0.9,16384,0.9,answer_address,Address heads,3,0.5351971944173177,0.4675390726285064,0.6028553162061291,0.21832017047113217,0.17543575224213356,38,40
16k / 0.9,16384,0.9,non_address_core,Non-address core,16,0.04335937500000007,0.027570450721373454,0.05914829927862668,0.05094792094325621,0.013564754043080138,34,40
16k / 0.9,16384,0.9,core19,Core 19,19,0.5414329528808594,0.4760211858997752,0.6068447198619435,0.21107160146573675,0.1773678900795058,39,40
16k / 0.9,16384,0.9,strong13,Strong 13,13,0.514574432373047,0.45233521575039237,0.5768136489957016,0.20083437174714405,0.16822067720698278,38,40
16k / 0.9,16384,0.9,query_tail,Query-tail support,9,0.028382364908854263,0.017353171297074897,0.03941155852063363,0.03558915568183846,0.008768871585773316,34,40
16k / 0.9,16384,0.9,first_token_sink,First-token/sink,6,0.02025858561197915,0.008036116249790486,0.03248105497416781,0.039439634506267016,0.006258536246939015,28,40
16k / 0.9,16384,0.9,answer_address_inactive_control,Address inactive control,3,0.0029876708984375444,-0.00433581908681452,0.010311160883689609,0.02363153956615251,0.0006982302144160348,20,40
16k / 0.9,16384,0.9,query_tail_inactive_control,Query-tail inactive control,9,0.01601155598958339,0.005925904074901737,0.026097207904265046,0.03254452218166555,0.005100565867570454,27,40
