setting,target_tokens,needle_frac,group,head,head_label,mean_delta_patch,ci_low,ci_high,std,mean_recovery_fraction,positive_examples,n
8k / 0.1,8192,0.1,address_L22H7,L22H7,L22H7,0.4570555369059245,0.4025423692020874,0.5115687046097616,0.17590384940291476,0.15154620947885758,38,40
8k / 0.1,8192,0.1,address_L22H10,L22H10,L22H10,0.0720362345377605,0.04752432904206551,0.09654814003345548,0.07909535832366815,0.02404003430895733,36,40
8k / 0.1,8192,0.1,address_L21H11,L21H11,L21H11,0.016325378417968862,0.0012322764270147977,0.03141848040892293,0.048702631886364214,0.00574431488546953,25,40
8k / 0.1,8192,0.1,support_L20H7,L20H7,support L20H7,-0.002746582031249933,-0.010063532555927703,0.004570368493427838,0.02361043794361818,-0.0008716871713854099,18,40
8k / 0.1,8192,0.1,support_L18H3,L18H3,support L18H3,-0.007913208007812478,-0.01636452879603168,0.0005381127804067274,0.027270839721941033,-0.0024066573601314286,20,40
8k / 0.1,8192,0.1,support_L17H10,L17H10,support L17H10,-0.011789957682291564,-0.020069446930551807,-0.0035104684340313205,0.02671637131365067,-0.0036666555876810544,11,40
8k / 0.1,8192,0.1,support_L20H8,L20H8,support L20H8,-0.0002807617187499112,-0.007746655719886313,0.00718513228238649,0.024091050829570162,1.8387051717077153e-05,19,40
8k / 0.1,8192,0.1,support_L22H0,L22H0,support L22H0,0.005383809407552143,-0.00017840582515500462,0.01094602464025929,0.01794823364432457,0.0018939324379132604,25,40
8k / 0.1,8192,0.1,support_L22H4,L22H4,support L22H4,0.001537577311197924,-0.004837162443909797,0.007912317066305645,0.020570099098943258,0.0006476159833591012,22,40
8k / 0.1,8192,0.1,activation_control_L20H5,L20H5,L20H5 control,1.2715657552164749e-05,-0.009576095104892735,0.009601526419997066,0.03094130822618534,0.00022575004565948722,20,40
8k / 0.1,8192,0.1,inactive_control_L21H2,L21H2,L21H2 inactive,-0.004068501790364487,-0.01089088180397232,0.002753878223243348,0.02201455092470541,-0.0011184964835395865,15,40
8k / 0.1,8192,0.1,inactive_control_L22H8,L22H8,L22H8 inactive,-0.0038431803385416074,-0.010167388910032923,0.0024810282329497083,0.020407044371298335,-0.0011253023210608605,14,40
8k / 0.1,8192,0.1,inactive_control_L22H3,L22H3,L22H3 inactive,-0.005301411946614487,-0.012121973352098563,0.00151914945886959,0.022008682614662187,-0.0016224171896624569,18,40
8k / 0.5,8192,0.5,address_L22H7,L22H7,L22H7,0.33529752095540355,0.28380638904504735,0.38678865286575975,0.16615230218051286,0.11555984862243207,39,40
8k / 0.5,8192,0.5,address_L22H10,L22H10,L22H10,0.058038075764973905,0.04161587845180682,0.07446027307814099,0.05299137519827088,0.019642387800050953,38,40
8k / 0.5,8192,0.5,address_L21H11,L21H11,L21H11,0.029050445556640624,0.015771551920748313,0.042329339192532935,0.042848519078096246,0.00990440084888361,31,40
8k / 0.5,8192,0.5,support_L20H7,L20H7,support L20H7,0.0026885986328124777,-0.00417856762090167,0.009555764886526624,0.022159067788553498,0.0007961469545100334,21,40
8k / 0.5,8192,0.5,support_L18H3,L18H3,support L18H3,0.004005940755208282,-0.002202313770841015,0.010214195281257579,0.020032882241188696,0.0010518069462144915,21,40
8k / 0.5,8192,0.5,support_L17H10,L17H10,support L17H10,0.0016774495442707592,-0.004401292292284564,0.0077561913808260816,0.019614968889458986,0.0003032586662751294,21,40
8k / 0.5,8192,0.5,support_L20H8,L20H8,support L20H8,0.005304718017578014,-0.002302918760997137,0.012912354796153165,0.02454842839955463,0.0015023094337493063,21,40
8k / 0.5,8192,0.5,support_L22H0,L22H0,support L22H0,0.007349141438802054,-0.0005547093543555679,0.015252992231959675,0.02550425591072089,0.0020053934127030448,20,40
8k / 0.5,8192,0.5,support_L22H4,L22H4,support L22H4,0.012553914388020759,0.005358486411658539,0.019749342364382978,0.023218307290817163,0.0041628521253485665,28,40
8k / 0.5,8192,0.5,activation_control_L20H5,L20H5,L20H5 control,0.02142206827799471,0.009871693699675816,0.0329724428563136,0.037270909689382244,0.006910009501822511,28,40
8k / 0.5,8192,0.5,inactive_control_L21H2,L21H2,L21H2 inactive,0.002839152018229085,-0.0048292479971453525,0.010507552033603523,0.024744500059034124,0.0007150772152749558,21,40
8k / 0.5,8192,0.5,inactive_control_L22H8,L22H8,L22H8 inactive,0.005898284912109242,0.0001750249447358002,0.011621544879482682,0.01846789503893984,0.0018339018854123257,24,40
8k / 0.5,8192,0.5,inactive_control_L22H3,L22H3,L22H3 inactive,0.009829711914062456,0.003933892423125291,0.015725531404999618,0.019024712514873372,0.0031395992886866023,30,40
8k / 0.9,8192,0.9,address_L22H7,L22H7,L22H7,0.4618550618489584,0.41426054940046064,0.5094495742974562,0.15357863618621456,0.15359961588655957,38,40
8k / 0.9,8192,0.9,address_L22H10,L22H10,L22H10,0.05065511067708337,0.03949984396550853,0.061810377388658216,0.035995970117584805,0.016890621333233036,37,40
8k / 0.9,8192,0.9,address_L21H11,L21H11,L21H11,0.03161265055338543,0.019051974249420317,0.04417332685735054,0.040530965380239994,0.010649431096798823,32,40
8k / 0.9,8192,0.9,support_L20H7,L20H7,support L20H7,-0.00411173502604163,-0.009731474197127476,0.0015080041450442165,0.0181338526905081,-0.0012254903927230141,15,40
8k / 0.9,8192,0.9,support_L18H3,L18H3,support L18H3,0.0011276245117187722,-0.006043027741755703,0.008298276765193248,0.02313836064285549,0.00016868759474830073,18,40
8k / 0.9,8192,0.9,support_L17H10,L17H10,support L17H10,0.0007405598958333259,-0.006593335450806745,0.008074455242473397,0.023665115731319113,0.0001927430551558638,21,40
8k / 0.9,8192,0.9,support_L20H8,L20H8,support L20H8,0.0064168294270833485,-0.0015752136264755145,0.014408872480642211,0.025788835925890888,0.0018889127435028834,22,40
8k / 0.9,8192,0.9,support_L22H0,L22H0,support L22H0,0.00782012939453125,0.0008766789373548228,0.014763579851707677,0.02240522271960708,0.002482079285970404,24,40
