setting,target_tokens,needle_frac,metric,group,mean,ci_low,ci_high,std,supporting_examples,n
8k / 0.1,8192,0.1,single_head_patch,address_L22H7,0.4570555369059245,0.4025423692020874,0.5115687046097616,0.17590384940291476,38,40
8k / 0.1,8192,0.1,group_ablation,non_address_core,-1.2688809752464294,-1.3231249632653865,-1.2146369872274723,0.17503525664366232,40,40
8k / 0.1,8192,0.1,group_ablation,query_tail,-1.0145651976267498,-1.0491444200829174,-0.9799859751705822,0.11158071701952202,40,40
8k / 0.1,8192,0.1,group_ablation,answer_address,-0.16251763006051384,-0.1898340651168665,-0.13520119500416117,0.08814505340218814,39,40
8k / 0.5,8192,0.5,single_head_patch,address_L22H7,0.33529752095540355,0.28380638904504735,0.38678865286575975,0.16615230218051286,39,40
8k / 0.5,8192,0.5,group_ablation,non_address_core,-1.3643178795774777,-1.4126212012022328,-1.3160145579527227,0.15586583151621544,40,40
8k / 0.5,8192,0.5,group_ablation,query_tail,-0.9881133526563645,-1.020892210103485,-0.955334495209244,0.10577127411313583,40,40
8k / 0.5,8192,0.5,group_ablation,answer_address,-0.12617097894350685,-0.15352752146427112,-0.09881443642274257,0.08827447272740739,38,40
8k / 0.9,8192,0.9,single_head_patch,address_L22H7,0.4618550618489584,0.41426054940046064,0.5094495742974562,0.15357863618621456,38,40
8k / 0.9,8192,0.9,group_ablation,non_address_core,-1.1980452289183936,-1.2407644005849818,-1.1553260572518054,0.1378468185940307,40,40
8k / 0.9,8192,0.9,group_ablation,query_tail,-0.9560619423786798,-0.9875288121170402,-0.9245950726403194,0.10153773388678118,40,40
8k / 0.9,8192,0.9,group_ablation,answer_address,-0.09398101468880968,-0.11637683704132007,-0.07158519233629929,0.07226715174126865,38,40
16k / 0.1,16384,0.1,single_head_patch,address_L22H7,0.4077463785807292,0.3365930973194945,0.4788996598419639,0.22959839977559168,38,40
16k / 0.1,16384,0.1,group_ablation,non_address_core,-1.3490260283152262,-1.4064673779286228,-1.2915846787018297,0.18535254760445488,40,40
16k / 0.1,16384,0.1,group_ablation,query_tail,-1.0429033935070038,-1.0803055098942627,-1.005501277119745,0.12068967050453734,40,40
16k / 0.1,16384,0.1,group_ablation,answer_address,-0.1900510589281718,-0.22308751863650325,-0.15701459921984037,0.10660250868031557,38,40
16k / 0.5,16384,0.5,single_head_patch,address_L22H7,0.4998087565104167,0.43141544116134733,0.568202071859486,0.22069250329919704,38,40
16k / 0.5,16384,0.5,group_ablation,non_address_core,-1.27369367480278,-1.320364815571127,-1.2270225340344332,0.15059908757787469,40,40
16k / 0.5,16384,0.5,group_ablation,query_tail,-0.9462075372536978,-0.9790241647219936,-0.9133909097854019,0.10589315094393885,40,40
16k / 0.5,16384,0.5,group_ablation,answer_address,-0.18618793189525606,-0.2123949120878071,-0.15998095170270504,0.08456504898304007,40,40
16k / 0.9,16384,0.9,single_head_patch,address_L22H7,0.5007280985514324,0.43785214050640237,0.5636040565964624,0.20288901784437025,38,40
16k / 0.9,16384,0.9,group_ablation,non_address_core,-1.3289378682772317,-1.3785459936482505,-1.279329742906213,0.1600761904322502,40,40
16k / 0.9,16384,0.9,group_ablation,query_tail,-0.9571359813213348,-0.9997661158066652,-0.9145058468360044,0.13755951217646303,40,40
16k / 0.9,16384,0.9,group_ablation,answer_address,-0.11970757047335304,-0.14602476397026798,-0.0933903769764381,0.08492068680981908,37,40
