variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,delta_topk,delta_randomk
literal,1234,8192,8191,0.1,915965,-2.0839297771453857,-2.4095824559529624,-2.0527304808298745,-0.32565267880757665,0.031199296315511216
literal,1235,8192,8193,0.1,822782,-1.9383243719736736,-2.604965170224508,-2.021937449773153,-0.6666407982508342,-0.08361307779947924
literal,1236,8192,8192,0.1,659279,-1.9796881675720215,-2.5476137002309165,-1.9588886896769206,-0.567925532658895,0.020799477895100837
literal,1237,8192,8191,0.1,255903,-2.2609168688456216,-2.596039613087972,-2.1984826723734536,-0.33512274424235056,0.06243419647216797
literal,1238,8192,8192,0.1,127404,-2.104977607727051,-2.2804872194925943,-2.0945307413736978,-0.17550961176554347,0.010446866353353013
literal,1239,8192,8192,0.1,178315,-2.0737412770589194,-2.380643049875895,-2.0217469533284507,-0.3069017728169756,0.05199432373046875
literal,1240,8192,8191,0.1,779361,-1.9174858729044597,-2.3561226526896157,-1.875840187072754,-0.43863677978515603,0.0416456858317058
literal,1241,8192,8192,0.1,731022,-1.9490454991658528,-2.4619568983713784,-1.8865060806274414,-0.5129113992055256,0.06253941853841138
alias,101234,8192,8192,0.1,476403,-1.9529555638631184,-2.300715446472168,-2.0777819951375327,-0.34775988260904955,-0.12482643127441428
alias,101235,8192,8192,0.1,419257,-1.919932206471761,-2.3654020627339682,-1.9735512733459473,-0.44546985626220725,-0.05361906687418627
alias,101236,8192,8192,0.1,896301,-1.7837336858113606,-2.2063905398050943,-1.8252766927083333,-0.42265685399373365,-0.041543006896972656
alias,101237,8192,8192,0.1,847571,-1.7244116465250652,-2.236421585083008,-1.827114741007487,-0.5120099385579426,-0.10270309448242188
alias,101238,8192,8193,0.1,223928,-1.9181777636210124,-2.2293341954549155,-1.9702510833740234,-0.31115643183390307,-0.052073319753010994
alias,101239,8192,8192,0.1,548522,-1.8470934232076008,-2.0344413121541343,-1.929132620493571,-0.18734788894653343,-0.0820391972859702
alias,101240,8192,8192,0.1,890717,-1.8134337266286213,-2.2933473587036133,-1.9072165489196777,-0.47991363207499194,-0.09378282229105639
alias,101241,8192,8192,0.1,184514,-1.8434791564941406,-2.1483052571614585,-1.9185190200805664,-0.30482610066731786,-0.07503986358642578
paraphrase,201234,8192,8192,0.1,193786,-2.250237226486206,-2.5447360277175903,-2.2189786434173584,-0.2944988012313843,0.031258583068847656
paraphrase,201235,8192,8192,0.1,207278,-2.3249409993489585,-2.7935511271158853,-2.3150711059570312,-0.4686101277669268,0.009869893391927231
paraphrase,201236,8192,8191,0.1,331504,-2.178695241610209,-2.771198014418284,-2.2206176122029624,-0.592502772808075,-0.04192237059275339
paraphrase,201237,8192,8192,0.1,888821,-2.145953814188639,-2.708474556605021,-2.187611222267151,-0.5625207424163818,-0.041657408078511704
paraphrase,201238,8192,8193,0.1,987809,-2.062677542368571,-2.448160926500956,-2.0939248402913413,-0.38548338413238525,-0.03124729792277048
paraphrase,201239,8192,8192,0.1,845811,-2.136019706726074,-2.771121700604757,-2.2296473185221353,-0.6351019938786826,-0.09362761179606105
paraphrase,201240,8192,8192,0.1,825220,-2.198137044906616,-2.7918938199679055,-2.2398767471313477,-0.5937567750612893,-0.041739702224731445
paraphrase,201241,8192,8192,0.1,844590,-2.073101202646891,-2.6876848538716636,-2.198094924290975,-0.6145836512247724,-0.12499372164408395
relational,301234,8192,8192,0.1,994066,-1.979209582010905,-2.378591855367025,-1.9668738047281902,-0.39938227335611987,0.012335777282714844
relational,301235,8192,8192,0.1,726316,-1.856849988301595,-2.2259508768717446,-1.8895087242126465,-0.36910088857014967,-0.032658735911051506
relational,301236,8192,8192,0.1,708819,-1.7402187983194988,-2.0259809494018555,-1.7819609642028809,-0.2857621510823567,-0.04174216588338209
relational,301237,8192,8192,0.1,227126,-1.9262503782908122,-2.2004650433858237,-1.9646595319112141,-0.27421466509501147,-0.03840915362040187
relational,301238,8192,8192,0.1,112467,-1.8965892791748047,-2.199923833211263,-1.9905764261881511,-0.3033345540364585,-0.09398714701334643
relational,301239,8192,8192,0.1,367666,-2.0757907231648765,-2.288891156514486,-2.1380982398986816,-0.21310043334960938,-0.06230751673380519
