variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,delta_topk,delta_randomk
literal,1234,8192,8191,0.1,915965,-2.0839297771453857,-2.4068183104197183,-2.052689790725708,-0.32288853327433253,0.031239986419677734
literal,1235,8192,8193,0.1,822782,-1.9383243719736736,-2.6048648357391357,-2.0217482248942056,-0.6665404637654622,-0.083423852920532
literal,1236,8192,8192,0.1,659279,-1.9796881675720215,-2.5422444343566895,-1.9588487943013508,-0.562556266784668,0.020839373270670647
literal,1237,8192,8191,0.1,255903,-2.2609168688456216,-2.584001064300537,-2.198388417561849,-0.3230841954549155,0.06252845128377249
literal,1238,8192,8192,0.1,127404,-2.104977607727051,-2.2717846234639487,-2.0945334434509277,-0.16680701573689793,0.010444164276123047
literal,1239,8192,8192,0.1,178315,-2.0737412770589194,-2.334794044494629,-2.0216547648111978,-0.2610527674357095,0.05208651224772165
literal,1240,8192,8191,0.1,779361,-1.9174858729044597,-2.3548336029052734,-1.8758540153503418,-0.43734773000081373,0.04163185755411791
literal,1241,8192,8192,0.1,731022,-1.9490454991658528,-2.459240992863973,-1.886513392130534,-0.5101954936981203,0.06253210703531886
alias,101234,8192,8192,0.1,476403,-1.9529555638631184,-2.2969579696655273,-2.076907475789388,-0.34400240580240893,-0.12395191192626975
alias,101235,8192,8192,0.1,419257,-1.919932206471761,-2.3579373359680176,-1.9722042083740234,-0.4380051294962566,-0.052272001902262444
alias,101236,8192,8192,0.1,896301,-1.7837336858113606,-2.200215975443522,-1.825484275817871,-0.4164822896321614,-0.04175059000651049
alias,101237,8192,8192,0.1,847571,-1.7244116465250652,-2.2342777252197266,-1.8288908004760742,-0.5098660786946614,-0.10447915395100904
alias,101238,8192,8193,0.1,223928,-1.9181777636210124,-2.220203081766764,-1.970331033070882,-0.30202531814575173,-0.052153269449869644
alias,101239,8192,8192,0.1,548522,-1.8470934232076008,-2.0338430404663086,-1.9299182891845703,-0.18674961725870776,-0.08282486597696948
alias,101240,8192,8192,0.1,890717,-1.8134337266286213,-2.2718868255615234,-1.90738312403361,-0.4584530989329021,-0.09394939740498875
alias,101241,8192,8192,0.1,184514,-1.8434791564941406,-2.0384130477905273,-1.8956212997436523,-0.19493389129638672,-0.05214214324951172
paraphrase,201234,8192,8192,0.1,193786,-2.250237226486206,-2.542040983835856,-2.218979756037394,-0.2918037573496499,0.031257470448812
paraphrase,201235,8192,8192,0.1,207278,-2.3249409993489585,-2.7949394385019937,-2.3142961661020913,-0.4699984391530352,0.010644833246867158
paraphrase,201236,8192,8191,0.1,331504,-2.178695241610209,-2.7718098163604736,-2.2200856606165567,-0.5931145747502646,-0.041390419006347656
paraphrase,201237,8192,8192,0.1,888821,-2.145953814188639,-2.708444436391195,-2.1876184145609536,-0.5624906222025556,-0.04166460037231445
paraphrase,201238,8192,8193,0.1,987809,-2.062677542368571,-2.4481181303660073,-2.0939109722773233,-0.3854405879974365,-0.03123342990875244
paraphrase,201239,8192,8192,0.1,845811,-2.136019706726074,-2.771374543507894,-2.2297974824905396,-0.6353548367818198,-0.09377777576446533
paraphrase,201240,8192,8192,0.1,825220,-2.198137044906616,-2.7918595472971597,-2.2398056983947754,-0.5937225023905435,-0.04166865348815918
paraphrase,201241,8192,8192,0.1,844590,-2.073101202646891,-2.687668244043986,-2.198097070058187,-0.6145670413970947,-0.12499586741129587
relational,301234,8192,8192,0.1,994066,-1.979209582010905,-2.3177170753479004,-2.0037495295206704,-0.33850749333699537,-0.024539947509765403
relational,301235,8192,8192,0.1,726316,-1.856849988301595,-2.2209065755208335,-1.8882560729980469,-0.3640565872192385,-0.0314060846964519
relational,301236,8192,8192,0.1,708819,-1.7402187983194988,-2.0214029947916665,-1.7820720672607422,-0.28118419647216775,-0.041853268941243416
relational,301237,8192,8192,0.1,227126,-1.9262503782908122,-2.2063914140065513,-1.9669830004374187,-0.280141035715739,-0.040732622146606445
relational,301238,8192,8192,0.1,112467,-1.8965892791748047,-2.1470398902893066,-1.9904823303222656,-0.25045061111450195,-0.09389305114746094
relational,301239,8192,8192,0.1,367666,-2.0757907231648765,-2.2743918100992837,-2.138314882914225,-0.19860108693440726,-0.06252415974934866
relational,301240,8192,8192,0.1,321185,-1.9910899798075359,-2.230433146158854,-2.01176118850708,-0.23934316635131814,-0.020671208699544197
relational,301241,8192,8192,0.1,795577,-1.8352765242258708,-2.14780855178833,-1.8351784547170003,-0.31253202756245924,9.806950887059074e-05
distractor_heavy,401234,8192,8193,0.1,210681,-2.2505248387654624,-2.5527499516805015,-2.177687644958496,-0.30222511291503906,0.0728371938069663
distractor_heavy,401235,8192,8193,0.1,639039,-2.0219222704569497,-2.5113622347513833,-2.0948990186055503,-0.4894399642944336,-0.07297674814860056
distractor_heavy,401236,8192,8192,0.1,705589,-1.9497793515523274,-2.4073266983032227,-1.981117566426595,-0.45754734675089526,-0.03133821487426758
distractor_heavy,401237,8192,8192,0.1,577255,-2.0298563639322915,-2.2336559295654297,-2.0750179290771484,-0.20379956563313817,-0.04516156514485692
distractor_heavy,401238,8192,8192,0.1,984712,-2.0761286417643228,-2.480936050415039,-2.088343938191732,-0.4048074086507163,-0.01221529642740915
distractor_heavy,401239,8192,8192,0.1,836886,-1.9511070251464844,-2.440480868021647,-2.0138724644978843,-0.4893738428751626,-0.06276543935139989
distractor_heavy,401240,8192,8193,0.1,453754,-2.1962440808614097,-2.545190175374349,-2.2374471028645835,-0.34894609451293945,-0.04120302200317383
distractor_heavy,401241,8192,8192,0.1,395505,-2.2317377726236978,-2.599187215169271,-2.2510741551717124,-0.3674494425455732,-0.01933638254801462
