variant,seed,target_tokens,actual_tokens,needle_frac,gold,baseline_logprob,topk_ablated_logprob,randomk_ablated_logprob,randomk_ablated_logprob_mean,randomk_ablated_logprob_std,delta_topk,delta_randomk,delta_randomk_mean,delta_randomk_std,delta_randomk_all
literal,1234,8192,8191,0.1,915965,-2.0839297771453857,-2.4068183104197183,-2.052689790725708,-2.259457544485728,0.16679523550276068,-0.32288853327433253,0.031239986419677734,-0.1755277673403422,0.16679523550276068,"[0.031239986419677734, -0.12497361501057958, -0.28151098887125636, -0.20837219556172704, -0.11459859212239598, -0.29190127054850246, -0.2186657587687173, -0.14570871988932277, -0.5521728992462158, 0.11446928977966309, -0.260380188624064, -0.13540418942769383, 0.010413964589436997, -0.5209221839904785, -0.13518428802490234, -0.08340843518575047, -0.30202722549438477, -0.24984407424926758, -0.09369889895121242, 0.05209493637084961]"
literal,1235,8192,8193,0.1,822782,-1.9383243719736736,-2.6048648357391357,-2.0217482248942056,-2.1487659513950343,0.1470765600893341,-0.6665404637654622,-0.083423852920532,-0.21044157942136116,0.14707656008933412,"[-0.083423852920532, -0.052023887634277344, -0.17725706100463845, -0.041635990142822266, -0.010418812433878433, -0.23966479301452615, -0.249890645345052, -0.34365296363830544, -0.5209102630615232, -0.06272888183593728, -0.38535030682881666, -0.2709414958953855, -0.12511563301086404, -0.4688026905059812, -0.34353208541870095, -0.18768326441446948, -0.19785618782043435, -0.3018633127212522, -0.14597622553507494, -0.00010323524475097656]"
literal,1236,8192,8192,0.1,659279,-1.9796881675720215,-2.5422444343566895,-1.9588487943013508,-2.147384862105052,0.17842966761245935,-0.562556266784668,0.020839373270670647,-0.1676966945330302,0.17842966761245938,"[0.020839373270670647, 0.0417130788167317, -0.20850785573323583, -0.02085399627685547, 0.08332316080729174, -0.2812919616699219, -0.33321984608968114, -0.3539952437082925, -0.3750920295715332, 0.031110604604085212, -0.42698780695597316, -0.11462386449178075, -0.12502813339233398, -0.4582942326863608, 0.021037260691324944, -0.13550106684366847, -0.18745803833007812, -0.4269242286682129, -0.16669003168741847, 0.06251096725463867]"
literal,1237,8192,8191,0.1,255903,-2.2609168688456216,-2.584001064300537,-2.198388417561849,-2.382265388965607,0.16973468054395377,-0.3230841954549155,0.06252845128377249,-0.12134852011998513,0.16973468054395377,"[0.06252845128377249, -0.06248283386230469, -0.12514829635620117, -0.1458514531453452, -0.04169670740763376, -0.21874634424845407, -0.11449384689331055, -0.21870152155558298, -0.4271079699198408, 0.27078851064046217, -0.32289155324300145, -0.12502400080362985, 4.132588704131024e-06, -0.46871058146158884, 0.09384361902872707, -0.11465024948120117, -0.2500060399373374, -0.17695927619934082, -0.062461535135905244, 0.0207970937093096]"
literal,1238,8192,8192,0.1,127404,-2.104977607727051,-2.2717846234639487,-2.0945334434509277,-2.23569180170695,0.13358276420860335,-0.16680701573689793,0.010444164276123047,-0.13071419397989908,0.13358276420860335,"[0.010444164276123047, -0.020821571350097656, -0.06269534428914403, -0.15637969970703125, -0.031247774759928237, -0.23948907852172852, -0.22898356119791652, -0.21870215733846043, -0.28130737940470363, 0.14584684371948242, -0.3123857180277505, -0.0625079472859702, -0.02073526382446289, -0.426992098490397, -0.031387964884439956, -0.0833730697631836, -0.2396157582600913, -0.228889306386312, -0.041605154673258316, -0.08345603942871094]"
literal,1239,8192,8192,0.1,178315,-2.0737412770589194,-2.334794044494629,-2.0216547648111978,-2.189964111646016,0.1484593745610867,-0.2610527674357095,0.05208651224772165,-0.116222834587097,0.1484593745610867,"[0.05208651224772165, -0.00016736984252929688, -0.02109209696451808, -0.11487388610839844, 0.0519798596700034, -0.24995740254720022, -0.17684713999430324, -0.14610767364501953, -0.35453224182128906, 0.13534037272135424, -0.2810885111490884, -0.09383900960286429, -0.020796140034993194, -0.48955249786376953, -0.06301355361938477, -0.10423787434895804, -0.19789536794026663, -0.2185052235921221, -0.05205186208089163, 0.02069441477457712]"
literal,1240,8192,8191,0.1,779361,-1.9174858729044597,-2.3548336029052734,-1.8758540153503418,-2.052946742375692,0.1427260218719177,-0.43734773000081373,0.04163185755411791,-0.13546086947123204,0.1427260218719177,"[0.04163185755411791, -0.031301816304524666, -0.2190969785054524, -0.06252002716064453, 0.020678997039794922, -0.18773762385050463, -0.2084143956502278, -0.1767158508300779, -0.41678269704182935, 0.030988693237304688, -0.2813700040181477, -0.06256119410196925, -0.0625063578287759, -0.41679000854492165, -0.18713951110839822, -0.03151130676269531, -0.15621169408162427, -0.2913885116577146, -0.12501255671183276, 0.11454359690348315]"
literal,1241,8192,8192,0.1,731022,-1.9490454991658528,-2.459240992863973,-1.886513392130534,-2.121441487471263,0.16772049155352617,-0.5101954936981203,0.06253210703531886,-0.17239598830540984,0.16772049155352617,"[0.06253210703531886, -0.1041595141092937, -0.2922372023264568, -0.12504442532857252, -0.03132239977518725, -0.3022131919860842, -0.19778800010681175, -0.3121641476949055, -0.5209592978159587, 0.08312908808390285, -0.281234582265218, -0.11462736129760764, -0.0519979794820149, -0.5104273160298665, -0.15582219759623217, -0.09381564458211256, -0.1772045294443767, -0.2913593451182048, -0.1353735923767092, 0.10416976610819484]"
alias,101234,8192,8192,0.1,476403,-1.9529555638631184,-2.2969579696655273,-2.076907475789388,-2.1363664229710895,0.1284089666744608,-0.34400240580240893,-0.12395191192626975,-0.18341085910797128,0.1284089666744608,"[-0.12395191192626975, -0.1650346120198567, -0.291237195332845, -0.10425567626953147, -0.13579559326171897, -0.154345194498698, -0.20707194010416674, -0.45537821451822924, -0.45763651529947924, 0.06327438354492188, -0.37426153818766283, -0.14570522308349632, -0.10286108652750658, -0.26936848958333326, -0.0492361386617024, -0.09443092346191428, -0.19679959615071607, -0.2078129450480144, -0.12428569793701194, -0.07202307383219408]"
alias,101235,8192,8192,0.1,419257,-1.919932206471761,-2.3579373359680176,-1.9722042083740234,-2.094581305980683,0.13003150266496952,-0.4380051294962566,-0.052272001902262444,-0.17464909950892143,0.13003150266496952,"[-0.052272001902262444, -0.20854568481445335, -0.30323568979899096, -0.17731618881225608, -0.14607906341552757, -0.1979724566141765, -0.16652679443359397, -0.34211810429890943, -0.4908876419067385, 0.030900637308756362, -0.28121185302734397, -0.11480093002319358, -0.1250877380371096, -0.37551705042521166, -0.060564279556274414, -0.06323830286661791, -0.1661791801452639, -0.19789123535156272, -0.08429384231567405, 0.029855410257975112]"
alias,101236,8192,8192,0.1,896301,-1.7837336858113606,-2.200215975443522,-1.825484275817871,-1.8961322784423824,0.09594393974730676,-0.4164822896321614,-0.04175059000651049,-0.11239859263102221,0.09594393974730678,"[-0.04175059000651049, -0.04117139180501317, -0.16679350535074877, -0.030851364135742188, -0.010386784871419419, -0.1350491841634116, -0.05217266082763672, -0.30126158396403, -0.38574250539143873, -0.0626866022745769, -0.09404277801513672, -0.13551171620686864, -0.05199178059895848, -0.15603971481323242, -0.18640518188476562, -0.0842447280883789, -0.17683633168538426, -0.08271869023640965, -0.07319482167561864, 0.020880063374837166]"
alias,101237,8192,8192,0.1,847571,-1.7244116465250652,-2.2342777252197266,-1.8288908004760742,-1.900990303357442,0.10915966939613005,-0.5098660786946614,-0.10447915395100904,-0.17657865683237706,0.10915966939613006,"[-0.10447915395100904, -0.12413628896077467, -0.22076098124186183, -0.09324487050374342, -0.07201862335205078, -0.12302589416503906, -0.10202725728352857, -0.4958165486653645, -0.43797270456949877, -0.10424264272054029, -0.16507164637247707, -0.18769105275471998, -0.15560277303059888, -0.2270600001017251, -0.255714734395345, -0.13499927520751953, -0.18615055084228516, -0.11282507578531886, -0.1562490463256836, -0.07248401641845703]"
alias,101238,8192,8193,0.1,223928,-1.9181777636210124,-2.220203081766764,-1.970331033070882,-2.093647102514903,0.12838196996341872,-0.30202531814575173,-0.052153269449869644,-0.17546933889389033,0.12838196996341872,"[-0.052153269449869644, -0.20905907948811842, -0.2922522226969402, -0.1359128952026365, -0.14665492375691724, -0.22942701975504565, -0.1665387153625486, -0.36622349421183276, -0.501035690307617, 0.05177418390909838, -0.28132168451944994, -0.13538455963134743, -0.04205687840779615, -0.32339986165364576, -0.09760800997416186, -0.08375867207845045, -0.21815331776936842, -0.17661571502685525, -0.07279729843139648, -0.030807654062906753]"
alias,101239,8192,8192,0.1,548522,-1.8470934232076008,-2.0338430404663086,-1.9299182891845703,-1.985510158538818,0.09784464251194507,-0.18674961725870776,-0.08282486597696948,-0.13841673533121754,0.09784464251194507,"[-0.08282486597696948, -0.061402638753255356, -0.06301705042521166, -0.0724177360534668, -0.051634788513183594, -0.12421592076619481, -0.21767298380533862, -0.3413233757019045, -0.24928236007690452, 0.009665648142496597, -0.3015370368957522, -0.07277854283650731, -0.1033364931742351, -0.2911051114400227, -0.15356858571370435, -0.07245842615763354, -0.14534171422322606, -0.23930247624715162, -0.10377264022827148, -0.03100760777791356]"
alias,101240,8192,8192,0.1,890717,-1.8134337266286213,-2.2718868255615234,-1.90738312403361,-1.9327216267585754,0.08996822116639912,-0.4584530989329021,-0.09394939740498875,-0.11928790012995413,0.08996822116639912,"[-0.09394939740498875, -0.0728536446889243, -0.1565330823262534, -0.051960309346517075, -0.010504086812337388, -0.14590167999267578, -0.08327658971150731, -0.2705754439036052, -0.375115950902303, 0.010143518447875977, -0.12506564458211278, -0.13546315828959155, -0.07298111915588379, -0.2187299728393557, -0.12452983856201172, -0.10452659924825047, -0.18734900156656908, -0.09351253509521484, -0.07310287157694506, 2.9404958089118693e-05]"
alias,101241,8192,8192,0.1,184514,-1.8434791564941406,-2.0384130477905273,-1.8956212997436523,-2.0134159564971923,0.11145326553766446,-0.19493389129638672,-0.05214214324951172,-0.16993680000305175,0.11145326553766448,"[-0.05214214324951172, -0.18855317433675145, -0.24933815002441406, -0.16775099436442042, -0.11734135945638013, -0.1698150634765625, -0.19773546854654933, -0.2868461608886719, -0.45050525665283203, 0.053544044494628906, -0.27718957265218114, -0.12992540995279955, -0.08106708526611328, -0.32259909311930324, -0.10355313618977857, -0.1070359547932942, -0.2405465443929038, -0.18833541870117188, -0.07337411244710279, -0.048625946044921875]"
