variant,seed,target_tokens,actual_tokens,needle_frac,gold,layer,head,gold_span_start,gold_span_end,needle_span_start,needle_span_end,n_distractor_spans,gold_mass,gold_max,gold_rank,needle_mass,distractor_mass,argmax_token_index,argmax_in_gold,argmax_in_needle
literal,1234,8192,8192,0.5,915965,20,7,4084,4090,4073,4097,1,0.0005460977554321289,0.00020599365234375,40,0.0036885738372802734,0.0066051483154296875,8191,0,0
literal,1234,8192,8192,0.5,915965,21,11,4084,4090,4073,4097,1,0.455078125,0.138671875,1,0.5799589157104492,0.08245849609375,4087,1,1
literal,1234,8192,8192,0.5,915965,22,7,4084,4090,4073,4097,1,0.28600502014160156,0.28125,1,0.659945011138916,0.024183452129364014,4084,1,1
literal,1234,8192,8192,0.5,915965,18,3,4084,4090,4073,4097,1,0.007106781005859375,0.0028228759765625,40,0.09705549478530884,0.017238616943359375,8183,0,0
literal,1234,8192,8192,0.5,915965,17,10,4084,4090,4073,4097,1,0.0007996559143066406,0.000240325927734375,89,0.10315179824829102,0.007289886474609375,0,0,0
literal,1234,8192,8192,0.5,915965,20,8,4084,4090,4073,4097,1,0.00044465065002441406,0.00014591217041015625,34,0.0030996326822787523,0.0010814666748046875,8190,0,0
literal,1234,8192,8192,0.5,915965,22,0,4084,4090,4073,4097,1,0.00022971630096435547,5.745887756347656e-05,76,0.0018643364310264587,5.8397650718688965e-05,0,0,0
literal,1234,8192,8192,0.5,915965,22,4,4084,4090,4073,4097,1,0.0024957656860351562,0.00157928466796875,23,0.03442353010177612,0.003452777862548828,8184,0,0
literal,1234,8192,8192,0.5,915965,21,0,4084,4090,4073,4097,1,0.03354644775390625,0.00933837890625,3,0.05718657374382019,0.002002716064453125,0,0,0
literal,1234,8192,8192,0.5,915965,20,6,4084,4090,4073,4097,1,0.0003037452697753906,9.918212890625e-05,73,0.03465539216995239,0.0005974769592285156,8191,0,0
literal,1234,8192,8192,0.5,915965,20,9,4084,4090,4073,4097,1,0.0051784515380859375,0.001220703125,10,0.011252318508923054,0.0039844512939453125,8190,0,0
literal,1234,8192,8192,0.5,915965,21,3,4084,4090,4073,4097,1,9.199976921081543e-05,2.658367156982422e-05,97,0.019495368003845215,0.0011377334594726562,0,0,0
literal,1234,8192,8192,0.5,915965,21,1,4084,4090,4073,4097,1,0.0006780624389648438,0.0002193450927734375,82,0.07382869720458984,0.00154876708984375,0,0,0
literal,1234,8192,8192,0.5,915965,21,4,4084,4090,4073,4097,1,0.0033850669860839844,0.00106048583984375,38,0.024516582489013672,0.00341033935546875,8190,0,0
literal,1234,8192,8192,0.5,915965,21,5,4084,4090,4073,4097,1,0.009563446044921875,0.0029754638671875,31,0.07652091979980469,0.0008985996246337891,0,0,0
literal,1234,8192,8192,0.5,915965,17,3,4084,4090,4073,4097,1,0.0011987686157226562,0.000286102294921875,68,0.032512664794921875,0.006778717041015625,8191,0,0
literal,1234,8192,8192,0.5,915965,22,10,4084,4090,4073,4097,1,0.099212646484375,0.039306640625,8,0.5549924373626709,0.002618551254272461,0,0,0
literal,1234,8192,8192,0.5,915965,23,4,4084,4090,4073,4097,1,0.03236579895019531,0.02783203125,9,0.359513521194458,0.011661767959594727,0,0,0
literal,1234,8192,8192,0.5,915965,20,3,4084,4090,4073,4097,1,0.0005565881729125977,0.000293731689453125,36,0.025720469653606415,0.000494837760925293,8179,0,0
literal,1235,8192,8192,0.5,822782,20,7,4102,4108,4091,4115,1,0.0003726482391357422,0.000171661376953125,42,0.002215176820755005,0.006923675537109375,8191,0,0
literal,1235,8192,8192,0.5,822782,21,11,4102,4108,4091,4115,1,0.388916015625,0.11767578125,2,0.5453348159790039,0.078948974609375,0,0,0
literal,1235,8192,8192,0.5,822782,22,7,4102,4108,4091,4115,1,0.28269481658935547,0.27734375,1,0.680401086807251,0.021177291870117188,4102,1,1
literal,1235,8192,8192,0.5,822782,18,3,4102,4108,4091,4115,1,0.01126861572265625,0.0042724609375,34,0.13450390100479126,0.01751708984375,8184,0,0
literal,1235,8192,8192,0.5,822782,17,10,4102,4108,4091,4115,1,0.0015172958374023438,0.000354766845703125,86,0.12335491180419922,0.009250640869140625,0,0,0
literal,1235,8192,8192,0.5,822782,20,8,4102,4108,4091,4115,1,0.000493168830871582,0.000308990478515625,27,0.001897724810987711,0.0009236335754394531,8190,0,0
literal,1235,8192,8192,0.5,822782,22,0,4102,4108,4091,4115,1,0.0004655122756958008,0.00019168853759765625,23,0.0015743784606456757,4.380941390991211e-05,0,0,0
literal,1235,8192,8192,0.5,822782,22,4,4102,4108,4091,4115,1,0.012317657470703125,0.003692626953125,18,0.06098473072052002,0.0037450790405273438,8184,0,0
literal,1235,8192,8192,0.5,822782,21,0,4102,4108,4091,4115,1,0.02130126953125,0.005889892578125,4,0.036298274993896484,0.0024557113647460938,0,0,0
literal,1235,8192,8192,0.5,822782,20,6,4102,4108,4091,4115,1,0.00031629204750061035,0.00011777877807617188,74,0.03458830714225769,0.0005970001220703125,8191,0,0
literal,1235,8192,8192,0.5,822782,20,9,4102,4108,4091,4115,1,0.00327301025390625,0.000873565673828125,13,0.005936011206358671,0.004253387451171875,8190,0,0
literal,1235,8192,8192,0.5,822782,21,3,4102,4108,4091,4115,1,0.00012692809104919434,7.43865966796875e-05,79,0.012425333261489868,0.0011010169982910156,0,0,0
literal,1235,8192,8192,0.5,822782,21,1,4102,4108,4091,4115,1,0.00048089027404785156,0.0002155303955078125,79,0.03861737251281738,0.0017466545104980469,0,0,0
literal,1235,8192,8192,0.5,822782,21,4,4102,4108,4091,4115,1,0.005140781402587891,0.0031585693359375,24,0.026850223541259766,0.003986358642578125,8190,0,0
literal,1235,8192,8192,0.5,822782,21,5,4102,4108,4091,4115,1,0.0095977783203125,0.0037689208984375,27,0.07038545608520508,0.0010595321655273438,0,0,0
literal,1235,8192,8192,0.5,822782,17,3,4102,4108,4091,4115,1,0.0004992485046386719,0.000141143798828125,75,0.017941951751708984,0.007976531982421875,8191,0,0
literal,1235,8192,8192,0.5,822782,22,10,4102,4108,4091,4115,1,0.1434326171875,0.06689453125,5,0.5612983703613281,0.0024967193603515625,0,0,0
