group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
answer_address,literal,1234,16384,16384,0.1,915965,256554,3,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.223958333333333,0.34375,2.4203302860260005,0.14202607056758834
non_address_core,literal,1234,16384,16384,0.1,915965,256554,16,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.569010416666667,-0.0013020833333339255,2.4203302860260005,-0.0005379775400289884
strong13,literal,1234,16384,16384,0.1,915965,256554,13,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.36328125,0.20442708333333304,2.4203302860260005,0.08446247378451263
core19,literal,1234,16384,16384,0.1,915965,256554,19,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.2109375,0.35677083333333304,2.4203302860260005,0.14740584596787565
first_token_sink,literal,1234,16384,16384,0.1,915965,256554,6,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.5625,0.005208333333333037,2.4203302860260005,0.0021519101601148523
query_tail,literal,1234,16384,16384,0.1,915965,256554,9,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.572916666666667,-0.0052083333333339255,2.4203302860260005,-0.002151910160115219
answer_address_inactive_control,literal,1234,16384,16384,0.1,915965,256554,3,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.54296875,0.024739583333333037,2.4203302860260005,0.010221573260546008
query_tail_inactive_control,literal,1234,16384,16384,0.1,915965,256554,9,-2.1473780473073325,-4.567708333333333,-2.289147694905599,-4.567708333333333,0.0,2.4203302860260005,0.0
answer_address,literal,1235,16384,16384,0.1,822782,347875,3,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-4.763020833333333,0.3333333333333339,3.1366621653238935,0.10627007811627483
non_address_core,literal,1235,16384,16384,0.1,822782,347875,16,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.114583333333333,-0.018229166666666075,3.1366621653238935,-0.005811644896983581
strong13,literal,1235,16384,16384,0.1,822782,347875,13,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-4.794270833333333,0.3020833333333339,3.1366621653238935,0.09630725829287408
core19,literal,1235,16384,16384,0.1,822782,347875,19,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-4.7109375,0.38541666666666696,3.1366621653238935,0.12287477782194264
first_token_sink,literal,1235,16384,16384,0.1,822782,347875,6,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.111979166666667,-0.015625,3.1366621653238935,-0.004981409911700374
query_tail,literal,1235,16384,16384,0.1,822782,347875,9,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.109375,-0.013020833333333037,3.1366621653238935,-0.004151174926416884
answer_address_inactive_control,literal,1235,16384,16384,0.1,822782,347875,3,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.098958333333333,-0.0026041666666660745,3.1366621653238935,-0.0008302349852832069
query_tail_inactive_control,literal,1235,16384,16384,0.1,822782,347875,9,-1.9596920013427734,-5.096354166666667,-2.2516822814941406,-5.106770833333333,-0.010416666666666075,3.1366621653238935,-0.0033209399411333936
answer_address,literal,1236,16384,16384,0.1,659279,262639,3,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.744791666666667,0.17838541666666607,2.87014897664388,0.062151971245498046
non_address_core,literal,1236,16384,16384,0.1,659279,262639,16,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.885416666666667,0.037760416666666075,2.87014897664388,0.013156256687003074
strong13,literal,1236,16384,16384,0.1,659279,262639,13,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.727864583333333,0.1953125,2.87014897664388,0.06804960355346525
core19,literal,1236,16384,16384,0.1,659279,262639,19,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.74609375,0.17708333333333304,2.87014897664388,0.061698307221808385
first_token_sink,literal,1236,16384,16384,0.1,659279,262639,6,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.912760416666667,0.010416666666666075,2.87014897664388,0.00362931218951794
query_tail,literal,1236,16384,16384,0.1,659279,262639,9,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.86328125,0.05989583333333304,2.87014897664388,0.020868545089729237
answer_address_inactive_control,literal,1236,16384,16384,0.1,659279,262639,3,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.891927083333333,0.03125,2.87014897664388,0.010887936568554439
query_tail_inactive_control,literal,1236,16384,16384,0.1,659279,262639,9,-2.053028106689453,-4.923177083333333,-2.3134830792744956,-4.87109375,0.05208333333333304,2.87014897664388,0.018146560947590627
answer_address,literal,1237,16384,16383,0.1,255903,368766,3,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.528645833333333,0.26041666666666696,2.579800605773926,0.10094449395965756
non_address_core,literal,1237,16384,16383,0.1,255903,368766,16,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.770833333333333,0.018229166666666963,2.579800605773926,0.007066114577176136
strong13,literal,1237,16384,16383,0.1,255903,368766,13,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.567708333333333,0.22135416666666696,2.579800605773926,0.08580281986570894
core19,literal,1237,16384,16383,0.1,255903,368766,19,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.494791666666667,0.29427083333333304,2.579800605773926,0.1140672781744128
first_token_sink,literal,1237,16384,16383,0.1,255903,368766,6,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.799479166666667,-0.010416666666666963,2.579800605773926,-0.004037779758386413
query_tail,literal,1237,16384,16383,0.1,255903,368766,9,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.799479166666667,-0.010416666666666963,2.579800605773926,-0.004037779758386413
answer_address_inactive_control,literal,1237,16384,16383,0.1,255903,368766,3,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.7890625,0.0,2.579800605773926,0.0
query_tail_inactive_control,literal,1237,16384,16383,0.1,255903,368766,9,-2.209261894226074,-4.7890625,-2.2529754638671875,-4.731770833333333,0.05729166666666696,2.579800605773926,0.022207788671124752
answer_address,literal,1238,16384,16384,0.1,127404,655198,3,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.356770833333333,0.30078125,2.489919344584147,0.12079959563920528
non_address_core,literal,1238,16384,16384,0.1,127404,655198,16,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.611979166666667,0.045572916666666075,2.489919344584147,0.018302969036242987
strong13,literal,1238,16384,16384,0.1,127404,655198,13,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.403645833333333,0.25390625,2.489919344584147,0.10197368463049797
core19,literal,1238,16384,16384,0.1,127404,655198,19,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.364583333333333,0.29296875,2.489919344584147,0.11766194380442073
first_token_sink,literal,1238,16384,16384,0.1,127404,655198,6,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.626302083333333,0.03125,2.489919344584147,0.01255060733913821
query_tail,literal,1238,16384,16384,0.1,127404,655198,9,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.606770833333333,0.05078125,2.489919344584147,0.020394736926099593
answer_address_inactive_control,literal,1238,16384,16384,0.1,127404,655198,3,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.610677083333333,0.046875,2.489919344584147,0.018825911008707317
query_tail_inactive_control,literal,1238,16384,16384,0.1,127404,655198,9,-2.167632738749186,-4.657552083333333,-2.0424497922261557,-4.608072916666667,0.049479166666666075,2.489919344584147,0.019871794953635263
answer_address,literal,1239,16384,16384,0.1,178315,630655,3,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.247395833333333,0.3984375,2.5924383799235025,0.1536921776369308
non_address_core,literal,1239,16384,16384,0.1,178315,630655,16,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.5703125,0.07552083333333304,2.5924383799235025,0.029131197068437746
strong13,literal,1239,16384,16384,0.1,178315,630655,13,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.299479166666667,0.3463541666666661,2.5924383799235025,0.13360169690007687
core19,literal,1239,16384,16384,0.1,178315,630655,19,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.268229166666667,0.3776041666666661,2.5924383799235025,0.14565598534218907
first_token_sink,literal,1239,16384,16384,0.1,178315,630655,6,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.591145833333333,0.0546875,2.5924383799235025,0.021095004773696382
query_tail,literal,1239,16384,16384,0.1,178315,630655,9,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.588541666666667,0.057291666666666075,2.5924383799235025,0.022099528810538838
answer_address_inactive_control,literal,1239,16384,16384,0.1,178315,630655,3,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.59375,0.05208333333333304,2.5924383799235025,0.020090480736853582
query_tail_inactive_control,literal,1239,16384,16384,0.1,178315,630655,9,-2.0533949534098306,-4.645833333333333,-2.023210366566976,-4.5625,0.08333333333333304,2.5924383799235025,0.032144769178965804
answer_address,literal,1240,16384,16384,0.1,779361,276381,3,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-4.799479166666667,0.21744791666666607,3.0779692331949864,0.07064655303293961
non_address_core,literal,1240,16384,16384,0.1,779361,276381,16,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-5.002604166666667,0.014322916666666075,3.0779692331949864,0.004653365768636561
strong13,literal,1240,16384,16384,0.1,779361,276381,13,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-4.770833333333333,0.24609375,3.0779692331949864,0.0799532845702133
core19,literal,1240,16384,16384,0.1,779361,276381,19,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-4.796875,0.22005208333333304,3.0779692331949864,0.07149261953632821
first_token_sink,literal,1240,16384,16384,0.1,779361,276381,6,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-4.962239583333333,0.0546875,3.0779692331949864,0.017767396571158514
query_tail,literal,1240,16384,16384,0.1,779361,276381,9,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-4.977864583333333,0.0390625,3.0779692331949864,0.01269099755082751
answer_address_inactive_control,literal,1240,16384,16384,0.1,779361,276381,3,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-5.02734375,-0.010416666666666963,3.0779692331949864,-0.0033842660135540987
query_tail_inactive_control,literal,1240,16384,16384,0.1,779361,276381,9,-1.9389578501383464,-5.016927083333333,-2.2824953397115073,-4.99609375,0.020833333333333037,3.0779692331949864,0.006768532027107909
answer_address,literal,1241,16384,16384,0.1,731022,285908,3,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.25,0.27604166666666696,2.586770534515381,0.10671285411034034
non_address_core,literal,1241,16384,16384,0.1,731022,285908,16,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.447916666666667,0.078125,2.586770534515381,0.03020175116330384
strong13,literal,1241,16384,16384,0.1,731022,285908,13,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.233072916666667,0.29296875,2.586770534515381,0.1132565668623894
core19,literal,1241,16384,16384,0.1,731022,285908,19,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.208333333333333,0.3177083333333339,2.586770534515381,0.12282045473076918
first_token_sink,literal,1241,16384,16384,0.1,731022,285908,6,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.522135416666667,0.00390625,2.586770534515381,0.001510087558165192
query_tail,literal,1241,16384,16384,0.1,731022,285908,9,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.513020833333333,0.013020833333333925,2.586770534515381,0.005033625193884202
answer_address_inactive_control,literal,1241,16384,16384,0.1,731022,285908,3,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.552083333333333,-0.026041666666666075,2.586770534515381,-0.010067250387767717
query_tail_inactive_control,literal,1241,16384,16384,0.1,731022,285908,9,-1.9392711321512859,-4.526041666666667,-2.0966668128967285,-4.536458333333333,-0.010416666666666075,2.586770534515381,-0.00402690015510695
answer_address,alias,101234,16384,16384,0.1,476403,525796,3,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.059895833333333,0.8359375,2.851310094197591,0.293176635435455
non_address_core,alias,101234,16384,16384,0.1,476403,525796,16,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.861979166666667,0.033854166666666075,2.851310094197591,0.01187319707370981
strong13,alias,101234,16384,16384,0.1,476403,525796,13,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.104166666666667,0.7916666666666661,2.851310094197591,0.2776501469544494
core19,alias,101234,16384,16384,0.1,476403,525796,19,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.0859375,0.809895833333333,2.851310094197591,0.28404340691721647
first_token_sink,alias,101234,16384,16384,0.1,476403,525796,6,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.846354166666667,0.049479166666666075,2.851310094197591,0.017353134184652893
query_tail,alias,101234,16384,16384,0.1,476403,525796,9,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.841145833333333,0.0546875,2.851310094197591,0.019179779888300795
answer_address_inactive_control,alias,101234,16384,16384,0.1,476403,525796,3,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.890625,0.005208333333333037,2.851310094197591,0.001826645703647591
query_tail_inactive_control,alias,101234,16384,16384,0.1,476403,525796,9,-2.044523239135742,-4.895833333333333,-2.0241405169169107,-4.854166666666667,0.041666666666666075,2.851310094197591,0.01461316562918135
answer_address,alias,101235,16384,16384,0.1,419257,898276,3,-2.011960983276367,-5.197916666666667,-1.9621823628743489,-4.5546875,0.643229166666667,3.1859556833902998,0.20189520212728812
non_address_core,alias,101235,16384,16384,0.1,419257,898276,16,-2.011960983276367,-5.197916666666667,-1.9621823628743489,-5.119791666666667,0.078125,3.1859556833902998,0.02452168446890138
strong13,alias,101235,16384,16384,0.1,419257,898276,13,-2.011960983276367,-5.197916666666667,-1.9621823628743489,-4.546875,0.651041666666667,3.1859556833902998,0.20434737057417826
core19,alias,101235,16384,16384,0.1,419257,898276,19,-2.011960983276367,-5.197916666666667,-1.9621823628743489,-4.533854166666667,0.6640625,3.1859556833902998,0.20843431798566173
