group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
answer_address,literal,1234,8192,8191,0.1,915965,256554,3,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.247395833333333,0.38541666666666696,2.5488827228546143,0.15121004321258869
non_address_core,literal,1234,8192,8191,0.1,915965,256554,16,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.567708333333333,0.06510416666666696,2.5488827228546143,0.02554223702915359
strong13,literal,1234,8192,8191,0.1,915965,256554,13,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.338541666666667,0.29427083333333304,2.5488827228546143,0.1154509113717736
core19,literal,1234,8192,8191,0.1,915965,256554,19,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.205729166666667,0.42708333333333304,2.5488827228546143,0.1675570749112467
first_token_sink,literal,1234,8192,8191,0.1,915965,256554,6,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.583333333333333,0.04947916666666696,2.5488827228546143,0.019412100142156757
query_tail,literal,1234,8192,8191,0.1,915965,256554,9,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.598958333333333,0.03385416666666696,2.5488827228546143,0.013281963255159924
answer_address_inactive_control,literal,1234,8192,8191,0.1,915965,256554,3,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.588541666666667,0.04427083333333304,2.5488827228546143,0.01736872117982425
query_tail_inactive_control,literal,1234,8192,8191,0.1,915965,256554,9,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.611979166666667,0.020833333333333037,2.5488827228546143,0.008173515849328997
answer_address,literal,1235,8192,8193,0.1,822782,347875,3,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-4.671875,0.48697916666666696,3.220529794692993,0.1512108869382746
non_address_core,literal,1235,8192,8193,0.1,822782,347875,16,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-5.125,0.03385416666666696,3.220529794692993,0.01051198679250046
strong13,literal,1235,8192,8193,0.1,822782,347875,13,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-4.734375,0.42447916666666696,3.220529794692993,0.13180414209058164
core19,literal,1235,8192,8193,0.1,822782,347875,19,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-4.6640625,0.49479166666666696,3.220529794692993,0.15363673004423625
first_token_sink,literal,1235,8192,8193,0.1,822782,347875,6,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-5.127604166666667,0.03125,3.220529794692993,0.009703372423846494
query_tail,literal,1235,8192,8193,0.1,822782,347875,9,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-5.151041666666667,0.0078125,3.220529794692993,0.0024258431059616236
answer_address_inactive_control,literal,1235,8192,8193,0.1,822782,347875,3,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-5.171875,-0.013020833333333037,3.220529794692993,-0.0040430718432692804
query_tail_inactive_control,literal,1235,8192,8193,0.1,822782,347875,9,-1.9383243719736736,-5.158854166666667,-2.1883713404337564,-5.171875,-0.013020833333333037,3.220529794692993,-0.0040430718432692804
answer_address,literal,1236,8192,8192,0.1,659279,262639,3,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.700520833333333,0.2786458333333339,2.9994784990946455,0.09289809325769117
non_address_core,literal,1236,8192,8192,0.1,659279,262639,16,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.9296875,0.04947916666666696,2.9994784990946455,0.016495923101833076
strong13,literal,1236,8192,8192,0.1,659279,262639,13,-1.9796881675720215,-4.979166666666667,-2.271558920542399,-4.700520833333333,0.2786458333333339,2.9994784990946455,0.09289809325769117
