group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,8192,8191,0.1,915965,3,-2.0839297771453857,-2.2404978275299072,-0.15656805038452148
non_address_core,literal,1234,8192,8191,0.1,915965,16,-2.0839297771453857,-3.271324396133423,-1.187394618988037
strong13,literal,1234,8192,8191,0.1,915965,13,-2.0839297771453857,-3.3340530395507812,-1.2501232624053955
core19,literal,1234,8192,8191,0.1,915965,19,-2.0839297771453857,-3.292205731074015,-1.2082759539286294
first_token_sink,literal,1234,8192,8191,0.1,915965,6,-2.0839297771453857,-2.542217572530111,-0.4582877953847251
query_tail,literal,1234,8192,8191,0.1,915965,9,-2.0839297771453857,-3.125530481338501,-1.0416007041931152
answer_address,literal,1235,8192,8193,0.1,822782,3,-1.9383243719736736,-2.2301320234934487,-0.29180765151977517
non_address_core,literal,1235,8192,8193,0.1,822782,16,-1.9383243719736736,-3.438082138697306,-1.4997577667236326
strong13,literal,1235,8192,8193,0.1,822782,13,-1.9383243719736736,-3.5007286866505942,-1.5624043146769206
core19,literal,1235,8192,8193,0.1,822782,19,-1.9383243719736736,-3.6256219943364463,-1.6872976223627727
first_token_sink,literal,1235,8192,8193,0.1,822782,6,-1.9383243719736736,-2.344470818837484,-0.4061464468638103
query_tail,literal,1235,8192,8193,0.1,822782,9,-1.9383243719736736,-3.083964983622233,-1.1456406116485593
answer_address,literal,1236,8192,8192,0.1,659279,3,-1.9796881675720215,-2.177830378214518,-0.1981422106424966
non_address_core,literal,1236,8192,8192,0.1,659279,16,-1.9796881675720215,-3.47962220509847,-1.4999340375264487
strong13,literal,1236,8192,8192,0.1,659279,13,-1.9796881675720215,-3.3964314460754395,-1.416743278503418
core19,literal,1236,8192,8192,0.1,659279,19,-1.9796881675720215,-3.5213489532470703,-1.5416607856750488
first_token_sink,literal,1236,8192,8192,0.1,659279,6,-1.9796881675720215,-2.4067368507385254,-0.4270486831665039
query_tail,literal,1236,8192,8192,0.1,659279,9,-1.9796881675720215,-3.1463120778401694,-1.166623910268148
answer_address,literal,1237,8192,8191,0.1,255903,3,-2.2609168688456216,-2.2716248830159507,-0.010708014170329072
non_address_core,literal,1237,8192,8191,0.1,255903,16,-2.2609168688456216,-3.6254778703053794,-1.3645610014597578
strong13,literal,1237,8192,8191,0.1,255903,13,-2.2609168688456216,-3.542313893636068,-1.2813970247904463
core19,literal,1237,8192,8191,0.1,255903,19,-2.2609168688456216,-3.6255886554718018,-1.3646717866261802
first_token_sink,literal,1237,8192,8191,0.1,255903,6,-2.2609168688456216,-2.7713624636332193,-0.5104455947875977
query_tail,literal,1237,8192,8191,0.1,255903,9,-2.2609168688456216,-3.2713343302408853,-1.0104174613952637
answer_address,literal,1238,8192,8192,0.1,127404,3,-2.104977607727051,-2.0740583737691245,0.030919233957926284
non_address_core,literal,1238,8192,8192,0.1,127404,16,-2.104977607727051,-3.209073225657145,-1.1040956179300943
strong13,literal,1238,8192,8192,0.1,127404,13,-2.104977607727051,-3.1675097147623696,-1.0625321070353189
core19,literal,1238,8192,8192,0.1,127404,19,-2.104977607727051,-3.313331127166748,-1.2083535194396973
first_token_sink,literal,1238,8192,8192,0.1,127404,6,-2.104977607727051,-2.5529572168986,-0.44797960917154933
query_tail,literal,1238,8192,8192,0.1,127404,9,-2.104977607727051,-2.8757092157999673,-0.7707316080729165
answer_address,literal,1239,8192,8192,0.1,178315,3,-2.0737412770589194,-2.1054471333821616,-0.03170585632324219
non_address_core,literal,1239,8192,8192,0.1,178315,16,-2.0737412770589194,-3.396754264831543,-1.3230129877726235
strong13,literal,1239,8192,8192,0.1,178315,13,-2.0737412770589194,-3.31351629892985,-1.2397750218709307
core19,literal,1239,8192,8192,0.1,178315,19,-2.0737412770589194,-3.4801387786865234,-1.406397501627604
