group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,8192,8192,0.5,915965,3,-2.0971574783325195,-2.1606289545694985,-0.06347147623697902
non_address_core,literal,1234,8192,8192,0.5,915965,16,-2.0971574783325195,-3.2942893505096436,-1.197131872177124
strong13,literal,1234,8192,8192,0.5,915965,13,-2.0971574783325195,-3.315969149271647,-1.2188116709391275
core19,literal,1234,8192,8192,0.5,915965,19,-2.0971574783325195,-3.294588247934977,-1.1974307696024575
first_token_sink,literal,1234,8192,8192,0.5,915965,6,-2.0971574783325195,-2.4816742738087973,-0.3845167954762778
query_tail,literal,1234,8192,8192,0.5,915965,9,-2.0971574783325195,-3.107774575551351,-1.0106170972188315
answer_address_inactive_control,literal,1234,8192,8192,0.5,915965,3,-2.0971574783325195,-2.034295082092285,0.06286239624023438
query_tail_inactive_control,literal,1234,8192,8192,0.5,915965,9,-2.0971574783325195,-2.013180414835612,0.0839770634969077
answer_address,literal,1235,8192,8192,0.5,822782,3,-1.9802004496256511,-2.1782190004984536,-0.1980185508728025
non_address_core,literal,1235,8192,8192,0.5,822782,16,-1.9802004496256511,-3.5839629968007407,-1.6037625471750896
strong13,literal,1235,8192,8192,0.5,822782,13,-1.9802004496256511,-3.4800400733947754,-1.4998396237691243
core19,literal,1235,8192,8192,0.5,822782,19,-1.9802004496256511,-3.6465021769205728,-1.6663017272949217
first_token_sink,literal,1235,8192,8192,0.5,822782,6,-1.9802004496256511,-2.3863213062286377,-0.4061208566029866
query_tail,literal,1235,8192,8192,0.5,822782,9,-1.9802004496256511,-3.1257363160451255,-1.1455358664194744
answer_address_inactive_control,literal,1235,8192,8192,0.5,822782,3,-1.9802004496256511,-1.9489263693491619,0.03127408027648926
query_tail_inactive_control,literal,1235,8192,8192,0.5,822782,9,-1.9802004496256511,-1.8447718620300293,0.13542858759562182
answer_address,literal,1236,8192,8191,0.5,659279,3,-2.052634080251058,-2.1673439343770347,-0.11470985412597656
non_address_core,literal,1236,8192,8191,0.5,659279,16,-2.052634080251058,-3.583758989969889,-1.531124909718831
strong13,literal,1236,8192,8191,0.5,659279,13,-2.052634080251058,-3.4171972274780273,-1.3645631472269693
core19,literal,1236,8192,8191,0.5,659279,19,-2.052634080251058,-3.5837690830230713,-1.5311350027720132
first_token_sink,literal,1236,8192,8191,0.5,659279,6,-2.052634080251058,-2.531790097554525,-0.4791560173034668
query_tail,literal,1236,8192,8191,0.5,659279,9,-2.052634080251058,-3.0837624073028564,-1.0311283270517984
answer_address_inactive_control,literal,1236,8192,8191,0.5,659279,3,-2.052634080251058,-2.0004990895589194,0.05213499069213867
query_tail_inactive_control,literal,1236,8192,8191,0.5,659279,9,-2.052634080251058,-1.9276059468587239,0.1250281333923342
answer_address,literal,1237,8192,8192,0.5,255903,3,-2.136063734690348,-2.1779685020446777,-0.041904767354329575
non_address_core,literal,1237,8192,8192,0.5,255903,16,-2.136063734690348,-3.563037316004435,-1.426973581314087
strong13,literal,1237,8192,8192,0.5,255903,13,-2.136063734690348,-3.4590132236480713,-1.3229494889577231
core19,literal,1237,8192,8192,0.5,255903,19,-2.136063734690348,-3.5422428448994956,-1.4061791102091474
first_token_sink,literal,1237,8192,8192,0.5,255903,6,-2.136063734690348,-2.563135306040446,-0.42707157135009766
query_tail,literal,1237,8192,8192,0.5,255903,9,-2.136063734690348,-3.146373907725016,-1.010310173034668
answer_address_inactive_control,literal,1237,8192,8192,0.5,255903,3,-2.136063734690348,-2.1048316955566406,0.031232039133707534
query_tail_inactive_control,literal,1237,8192,8192,0.5,255903,9,-2.136063734690348,-2.0110066731770835,0.12505706151326468
answer_address,literal,1238,8192,8192,0.5,127404,3,-2.0216344197591147,-2.001080354054769,0.020554065704345703
non_address_core,literal,1238,8192,8192,0.5,127404,16,-2.0216344197591147,-3.188140869140625,-1.1665064493815103
strong13,literal,1238,8192,8192,0.5,127404,13,-2.0216344197591147,-3.1258554458618164,-1.1042210261027017
core19,literal,1238,8192,8192,0.5,127404,19,-2.0216344197591147,-3.3132243156433105,-1.2915898958841958
first_token_sink,literal,1238,8192,8192,0.5,127404,6,-2.0216344197591147,-2.407064914703369,-0.3854304949442544
