group,variant,seed,target_tokens,actual_tokens,needle_frac,gold,n_heads,baseline_logprob,ablated_logprob,delta_logprob
answer_address,literal,1234,8192,8191,0.1,915965,3,-2.0839297771453857,-2.2404978275299072,-0.15656805038452148
non_address_core,literal,1234,8192,8191,0.1,915965,16,-2.0839297771453857,-3.271324396133423,-1.187394618988037
strong13,literal,1234,8192,8191,0.1,915965,13,-2.0839297771453857,-3.3340530395507812,-1.2501232624053955
core19,literal,1234,8192,8191,0.1,915965,19,-2.0839297771453857,-3.292205731074015,-1.2082759539286294
first_token_sink,literal,1234,8192,8191,0.1,915965,6,-2.0839297771453857,-2.542217572530111,-0.4582877953847251
query_tail,literal,1234,8192,8191,0.1,915965,9,-2.0839297771453857,-3.125530481338501,-1.0416007041931152
answer_address_inactive_control,literal,1234,8192,8191,0.1,915965,3,-2.0839297771453857,-2.021416187286377,0.06251358985900879
non_address_inactive_control,literal,1234,8192,8191,0.1,915965,16,-2.0839297771453857,-1.8965688546498616,0.18736092249552416
strong13_inactive_control,literal,1234,8192,8191,0.1,915965,13,-2.0839297771453857,-1.9276973406473796,0.1562324364980061
core19_inactive_control,literal,1234,8192,8191,0.1,915965,19,-2.0839297771453857,-1.875658909479777,0.20827086766560865
first_token_sink_inactive_control,literal,1234,8192,8191,0.1,915965,6,-2.0839297771453857,-1.9902239640553792,0.09370581309000658
query_tail_inactive_control,literal,1234,8192,8191,0.1,915965,9,-2.0839297771453857,-1.927635908126831,0.1562938690185547
answer_address,literal,1235,8192,8193,0.1,822782,3,-1.9383243719736736,-2.2301320234934487,-0.29180765151977517
non_address_core,literal,1235,8192,8193,0.1,822782,16,-1.9383243719736736,-3.438082138697306,-1.4997577667236326
strong13,literal,1235,8192,8193,0.1,822782,13,-1.9383243719736736,-3.5007286866505942,-1.5624043146769206
core19,literal,1235,8192,8193,0.1,822782,19,-1.9383243719736736,-3.6256219943364463,-1.6872976223627727
first_token_sink,literal,1235,8192,8193,0.1,822782,6,-1.9383243719736736,-2.344470818837484,-0.4061464468638103
query_tail,literal,1235,8192,8193,0.1,822782,9,-1.9383243719736736,-3.083964983622233,-1.1456406116485593
answer_address_inactive_control,literal,1235,8192,8193,0.1,822782,3,-1.9383243719736736,-1.9070671399434407,0.031257232030232895
non_address_inactive_control,literal,1235,8192,8193,0.1,822782,16,-1.9383243719736736,-1.8135054111480713,0.12481896082560229
strong13_inactive_control,literal,1235,8192,8193,0.1,822782,13,-1.9383243719736736,-1.8029266993204753,0.13539767265319824
core19_inactive_control,literal,1235,8192,8193,0.1,822782,19,-1.9383243719736736,-1.8030037879943848,0.1353205839792888
first_token_sink_inactive_control,literal,1235,8192,8193,0.1,822782,6,-1.9383243719736736,-1.8550026416778564,0.08332173029581713
query_tail_inactive_control,literal,1235,8192,8193,0.1,822782,9,-1.9383243719736736,-1.865453799565633,0.07287057240804051
answer_address,literal,1236,8192,8192,0.1,659279,3,-1.9796881675720215,-2.177830378214518,-0.1981422106424966
non_address_core,literal,1236,8192,8192,0.1,659279,16,-1.9796881675720215,-3.47962220509847,-1.4999340375264487
strong13,literal,1236,8192,8192,0.1,659279,13,-1.9796881675720215,-3.3964314460754395,-1.416743278503418
core19,literal,1236,8192,8192,0.1,659279,19,-1.9796881675720215,-3.5213489532470703,-1.5416607856750488
first_token_sink,literal,1236,8192,8192,0.1,659279,6,-1.9796881675720215,-2.4067368507385254,-0.4270486831665039
query_tail,literal,1236,8192,8192,0.1,659279,9,-1.9796881675720215,-3.1463120778401694,-1.166623910268148
answer_address_inactive_control,literal,1236,8192,8192,0.1,659279,3,-1.9796881675720215,-1.9692309697469075,0.010457197825114006
non_address_inactive_control,literal,1236,8192,8192,0.1,659279,16,-1.9796881675720215,-1.896413803100586,0.08327436447143555
