condition,patch_group,ablate_group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,clean_logprob,corrupt_clean_logprob,patched_logprob,patch_only_logprob,delta_patch,delta_vs_patch_only,recovery_denominator,recovery_fraction
patch_only,answer_address,,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.247395833333333,-4.247395833333333,0.38541666666666696,0.0,2.5488827228546143,0.15121004321258869
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-5.114583333333333,-4.247395833333333,-0.48177083333333304,-0.8671875,2.5488827228546143,-0.1890125540157356
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.557291666666667,-4.247395833333333,0.07552083333333304,-0.3098958333333339,2.5488827228546143,0.029628994953817916
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-5.177083333333333,-4.247395833333333,-0.544270833333333,-0.9296875,2.5488827228546143,-0.21353310156372296
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.205729166666667,-4.247395833333333,0.42708333333333304,0.041666666666666075,2.5488827228546143,0.1675570749112467
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.166666666666667,-4.247395833333333,0.46614583333333304,0.08072916666666607,2.5488827228546143,0.1828824171287388
patch_only,answer_address,,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.671875,-4.671875,0.48697916666666696,0.0,3.220529794692993,0.1512108869382746
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.515625,-4.671875,-0.35677083333333304,-0.84375,3.220529794692993,-0.11078016850558071
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.890625,-4.671875,0.26822916666666696,-0.21875,3.220529794692993,0.08328727997134916
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.5625,-4.671875,-0.40364583333333304,-0.890625,3.220529794692993,-0.12533522714135045
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.640625,-4.671875,0.518229166666667,0.03125,3.220529794692993,0.16091425936212111
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.645833333333333,-4.671875,0.5130208333333339,0.026041666666666963,3.220529794692993,0.15929703062481346
patch_only,answer_address,,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.700520833333333,-4.700520833333333,0.2786458333333339,0.0,2.9994784990946455,0.09289809325769117
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.46875,-4.700520833333333,-0.48958333333333304,-0.768229166666667,2.9994784990946455,-0.163222818060242
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.018229166666667,-4.700520833333333,-0.0390625,-0.3177083333333339,2.9994784990946455,-0.013023097185657613
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.59375,-4.700520833333333,-0.614583333333333,-0.893229166666667,2.9994784990946455,-0.20489672905434636
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.575520833333333,-4.700520833333333,0.4036458333333339,0.125,2.9994784990946455,0.13457200425179552
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.674479166666667,-4.700520833333333,0.3046875,0.026041666666666075,2.9994784990946455,0.10158015804812938
patch_only,answer_address,,literal,1237,8192,8191,0.1,255903,368766,-2.2609168688456216,-4.916666666666667,-4.572916666666667,-4.572916666666667,0.34375,0.0,2.6557497978210454,0.12943613900753584
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1237,8192,8191,0.1,255903,368766,-2.2609168688456216,-4.916666666666667,-5.4453125,-4.572916666666667,-0.528645833333333,-0.872395833333333,2.6557497978210454,-0.19905709256461937
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1237,8192,8191,0.1,255903,368766,-2.2609168688456216,-4.916666666666667,-4.895833333333333,-4.572916666666667,0.020833333333333925,-0.3229166666666661,2.6557497978210454,0.007844614485305424
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1237,8192,8191,0.1,255903,368766,-2.2609168688456216,-4.916666666666667,-5.669270833333333,-4.572916666666667,-0.7526041666666661,-1.096354166666666,2.6557497978210454,-0.2833866982816502
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1237,8192,8191,0.1,255903,368766,-2.2609168688456216,-4.916666666666667,-4.494791666666667,-4.572916666666667,0.421875,0.078125,2.6557497978210454,0.15885344332743034
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1237,8192,8191,0.1,255903,368766,-2.2609168688456216,-4.916666666666667,-4.5390625,-4.572916666666667,0.37760416666666696,0.03385416666666696,2.6557497978210454,0.1421836375461569
patch_only,answer_address,,literal,1238,8192,8192,0.1,127404,655198,-2.104977607727051,-4.842447916666667,-4.514322916666667,-4.514322916666667,0.328125,0.0,2.737470308939616,0.11986431375290503
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1238,8192,8192,0.1,127404,655198,-2.104977607727051,-4.842447916666667,-5.380208333333333,-4.514322916666667,-0.5377604166666661,-0.8658854166666661,2.737470308939616,-0.19644429198392746
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1238,8192,8192,0.1,127404,655198,-2.104977607727051,-4.842447916666667,-4.869791666666667,-4.514322916666667,-0.02734375,-0.35546875,2.737470308939616,-0.009988692812742086
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1238,8192,8192,0.1,127404,655198,-2.104977607727051,-4.842447916666667,-5.692708333333333,-4.514322916666667,-0.8502604166666661,-1.178385416666666,2.737470308939616,-0.3106007812724084
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1238,8192,8192,0.1,127404,655198,-2.104977607727051,-4.842447916666667,-4.40234375,-4.514322916666667,0.44010416666666696,0.11197916666666696,2.737470308939616,0.16077038908127747
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1238,8192,8192,0.1,127404,655198,-2.104977607727051,-4.842447916666667,-4.510416666666667,-4.514322916666667,0.33203125,0.00390625,2.737470308939616,0.12129126986901104
patch_only,answer_address,,literal,1239,8192,8192,0.1,178315,630655,-2.0737412770589194,-4.677083333333333,-4.268229166666667,-4.268229166666667,0.4088541666666661,0.0,2.6033420562744136,0.15704972985830698
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1239,8192,8192,0.1,178315,630655,-2.0737412770589194,-4.677083333333333,-5.127604166666667,-4.268229166666667,-0.4505208333333339,-0.859375,2.6033420562744136,-0.1730547978693451
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1239,8192,8192,0.1,178315,630655,-2.0737412770589194,-4.677083333333333,-4.596354166666667,-4.268229166666667,0.08072916666666607,-0.328125,2.6033420562744136,0.031009819271385273
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1239,8192,8192,0.1,178315,630655,-2.0737412770589194,-4.677083333333333,-5.453125,-4.268229166666667,-0.776041666666667,-1.184895833333333,2.6033420562744136,-0.29809439170557683
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1239,8192,8192,0.1,178315,630655,-2.0737412770589194,-4.677083333333333,-4.15625,-4.268229166666667,0.520833333333333,0.11197916666666696,2.6033420562744136,0.20006335013797086
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1239,8192,8192,0.1,178315,630655,-2.0737412770589194,-4.677083333333333,-4.260416666666667,-4.268229166666667,0.4166666666666661,0.0078125,2.6033420562744136,0.16005068011037654
patch_only,answer_address,,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.729166666666667,-4.729166666666667,0.26171875,0.0,3.073399543762207,0.08515611012280723
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-5.514322916666667,-4.729166666666667,-0.5234375,-0.78515625,3.073399543762207,-0.17031222024561446
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.997395833333333,-4.729166666666667,-0.0065104166666660745,-0.2682291666666661,3.073399543762207,-0.0021183111970845643
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-5.615885416666667,-4.729166666666667,-0.625,-0.88671875,3.073399543762207,-0.20335787492013666
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.666666666666667,-4.729166666666667,0.32421875,0.0625,3.073399543762207,0.10549189761482089
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1240,8192,8191,0.1,779361,276381,-1.9174858729044597,-4.990885416666667,-4.71484375,-4.729166666666667,0.27604166666666696,0.014322916666666963,3.073399543762207,0.08981639475639379
patch_only,answer_address,,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.276041666666667,-4.276041666666667,0.33333333333333304,0.0,2.6603295008341474,0.1252977622617109
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-5.041666666666667,-4.276041666666667,-0.43229166666666696,-0.765625,2.6603295008341474,-0.1624955354331566
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.45703125,-4.276041666666667,0.15234375,-0.18098958333333304,2.6603295008341474,0.05726499290867261
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-5.234375,-4.276041666666667,-0.625,-0.958333333333333,2.6603295008341474,-0.23493330424070816
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.200520833333333,-4.276041666666667,0.40885416666666696,0.07552083333333393,2.6603295008341474,0.15368553652413003
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1241,8192,8192,0.1,731022,285908,-1.9490454991658528,-4.609375,-4.192708333333333,-4.276041666666667,0.41666666666666696,0.08333333333333393,2.6603295008341474,0.15662220282713887
patch_only,answer_address,,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.9036458333333335,-3.9036458333333335,0.7369791666666665,0.0,2.687669436136882,0.27420751851312586
patch_plus_ablate_query_tail,answer_address,query_tail,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.6796875,-3.9036458333333335,-0.0390625,-0.7760416666666665,2.687669436136882,-0.014533967412356496
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.278645833333333,-3.9036458333333335,0.36197916666666696,-0.37499999999999956,2.687669436136882,0.13468143135450364
patch_plus_ablate_non_address_core,answer_address,non_address_core,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-4.739583333333333,-3.9036458333333335,-0.09895833333333304,-0.8359374999999996,2.687669436136882,-0.03681938411130301
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.8671875,-3.9036458333333335,0.7734375,0.03645833333333348,2.687669436136882,0.28777255476465863
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,alias,101234,8192,8192,0.1,476403,525796,-1.9529555638631184,-4.640625,-3.8880208333333335,-3.9036458333333335,0.7526041666666665,0.015625,2.687669436136882,0.28002110547806847
