condition,patch_group,ablate_group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,clean_logprob,corrupt_clean_logprob,patched_logprob,patch_only_logprob,delta_patch,delta_vs_patch_only,recovery_denominator,recovery_fraction
patch_only,answer_address,,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.247395833333333,-4.247395833333333,0.38541666666666696,0.0,2.5488827228546143,0.15121004321258869
ablate_only_query_tail,,query_tail,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-5.453125,-4.247395833333333,-0.8203125,-1.205729166666667,2.5488827228546143,-0.3218321865673338
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-5.114583333333333,-4.247395833333333,-0.48177083333333304,-0.8671875,2.5488827228546143,-0.1890125540157356
ablate_only_first_token_sink,,first_token_sink,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.901041666666667,-4.247395833333333,-0.26822916666666696,-0.6536458333333339,2.5488827228546143,-0.10523401656011244
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.557291666666667,-4.247395833333333,0.07552083333333304,-0.3098958333333339,2.5488827228546143,0.029628994953817916
ablate_only_non_address_core,,non_address_core,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-5.4921875,-4.247395833333333,-0.859375,-1.244791666666667,2.5488827228546143,-0.3371575287848259
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-5.177083333333333,-4.247395833333333,-0.544270833333333,-0.9296875,2.5488827228546143,-0.21353310156372296
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.630208333333333,-4.247395833333333,0.0026041666666669627,-0.3828125,2.5488827228546143,0.0010216894811662552
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.205729166666667,-4.247395833333333,0.42708333333333304,0.041666666666666075,2.5488827228546143,0.1675570749112467
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.5390625,-4.247395833333333,0.09375,-0.29166666666666696,2.5488827228546143,0.03678082132198101
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1234,8192,8191,0.1,915965,256554,-2.0839297771453857,-4.6328125,-4.166666666666667,-4.247395833333333,0.46614583333333304,0.08072916666666607,2.5488827228546143,0.1828824171287388
patch_only,answer_address,,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.671875,-4.671875,0.48697916666666696,0.0,3.220529794692993,0.1512108869382746
ablate_only_query_tail,,query_tail,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-6.111979166666667,-4.671875,-0.953125,-1.440104166666667,3.220529794692993,-0.29595285892731804
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.515625,-4.671875,-0.35677083333333304,-0.84375,3.220529794692993,-0.11078016850558071
ablate_only_first_token_sink,,first_token_sink,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.403645833333333,-4.671875,-0.24479166666666607,-0.731770833333333,3.220529794692993,-0.07600975065346402
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.890625,-4.671875,0.26822916666666696,-0.21875,3.220529794692993,0.08328727997134916
ablate_only_non_address_core,,non_address_core,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-6.2421875,-4.671875,-1.083333333333333,-1.5703125,3.220529794692993,-0.3363835773600117
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.5625,-4.671875,-0.40364583333333304,-0.890625,3.220529794692993,-0.12533522714135045
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.294270833333333,-4.671875,-0.13541666666666607,-0.622395833333333,3.220529794692993,-0.042047947170001286
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.640625,-4.671875,0.518229166666667,0.03125,3.220529794692993,0.16091425936212111
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-5.171875,-4.671875,-0.013020833333333037,-0.5,3.220529794692993,-0.0040430718432692804
patch_plus_ablate_answer_address_inactive_control,answer_address,answer_address_inactive_control,literal,1235,8192,8193,0.1,822782,347875,-1.9383243719736736,-5.158854166666667,-4.645833333333333,-4.671875,0.5130208333333339,0.026041666666666963,3.220529794692993,0.15929703062481346
patch_only,answer_address,,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.700520833333333,-4.700520833333333,0.2786458333333339,0.0,2.9994784990946455,0.09289809325769117
ablate_only_query_tail,,query_tail,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.893229166666667,-4.700520833333333,-0.9140625,-1.192708333333334,2.9994784990946455,-0.30474047414438815
patch_plus_ablate_query_tail,answer_address,query_tail,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.46875,-4.700520833333333,-0.48958333333333304,-0.768229166666667,2.9994784990946455,-0.163222818060242
ablate_only_first_token_sink,,first_token_sink,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.135416666666667,-4.700520833333333,-0.15625,-0.4348958333333339,2.9994784990946455,-0.052092388742630454
patch_plus_ablate_first_token_sink,answer_address,first_token_sink,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.018229166666667,-4.700520833333333,-0.0390625,-0.3177083333333339,2.9994784990946455,-0.013023097185657613
ablate_only_non_address_core,,non_address_core,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-6.052083333333333,-4.700520833333333,-1.072916666666666,-1.3515625,2.9994784990946455,-0.3577010693660623
patch_plus_ablate_non_address_core,answer_address,non_address_core,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-5.59375,-4.700520833333333,-0.614583333333333,-0.893229166666667,2.9994784990946455,-0.20489672905434636
ablate_only_query_tail_inactive_control,,query_tail_inactive_control,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.942708333333333,-4.700520833333333,0.036458333333333925,-0.2421875,2.9994784990946455,0.01215489070661397
patch_plus_ablate_query_tail_inactive_control,answer_address,query_tail_inactive_control,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.575520833333333,-4.700520833333333,0.4036458333333339,0.125,2.9994784990946455,0.13457200425179552
ablate_only_answer_address_inactive_control,,answer_address_inactive_control,literal,1236,8192,8192,0.1,659279,262639,-1.9796881675720215,-4.979166666666667,-4.947916666666667,-4.700520833333333,0.03125,-0.24739583333333393,2.9994784990946455,0.01041847774852609
