group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
address_L22H7,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.330729166666667,0.30208333333333304,2.5488827228546143,0.11851597981527201
address_L21H11,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.6015625,0.03125,2.5488827228546143,0.012260273773993668
address_L22H10,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.5703125,0.0625,2.5488827228546143,0.024520547547987336
support_L20H7,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.604166666666667,0.028645833333333037,2.5488827228546143,0.011238584292827413
support_L18H3,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.614583333333333,0.018229166666666963,2.5488827228546143,0.0071518263681630894
support_L17H10,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.59375,0.0390625,2.5488827228546143,0.015325342217492086
support_L20H8,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.596354166666667,0.03645833333333304,2.5488827228546143,0.01430365273632583
support_L22H0,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.598958333333333,0.03385416666666696,2.5488827228546143,0.013281963255159924
support_L22H4,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.596354166666667,0.03645833333333304,2.5488827228546143,0.01430365273632583
activation_control_L20H5,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.604166666666667,0.028645833333333037,2.5488827228546143,0.011238584292827413
inactive_control_L21H2,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.604166666666667,0.028645833333333037,2.5488827228546143,0.011238584292827413
inactive_control_L22H8,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.611979166666667,0.020833333333333037,2.5488827228546143,0.008173515849328997
inactive_control_L22H3,literal,1234,8192,8191,0.1,915965,256554,1,-2.0839297771453857,-4.6328125,-2.3997462590535483,-4.596354166666667,0.03645833333333304,2.5488827228546143,0.01430365273632583
