group,variant,seed,target_tokens,prompt_tokens,needle_frac,clean_gold,corrupt_gold,n_heads,clean_logprob,corrupt_clean_logprob,corrupt_gold_logprob,patched_logprob,delta_patch,recovery_denominator,recovery_fraction
address_L22H7,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.411458333333333,0.14322916666666696,2.4575300216674805,0.05828175664339729
address_L21H11,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.606770833333333,-0.05208333333333304,2.4575300216674805,-0.021193366052144304
address_L22H10,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.513020833333333,0.04166666666666696,2.4575300216674805,0.01695469284171566
support_L20H7,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.565104166666667,-0.010416666666666963,2.4575300216674805,-0.004238673210429005
support_L18H3,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.5859375,-0.03125,2.4575300216674805,-0.012716019631286655
support_L17H10,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.578125,-0.0234375,2.4575300216674805,-0.009537014723464991
support_L20H8,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.546875,0.0078125,2.4575300216674805,0.003179004907821664
support_L22H0,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.5703125,-0.015625,2.4575300216674805,-0.006358009815643328
support_L22H4,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.580729166666667,-0.026041666666666963,2.4575300216674805,-0.010596683026072333
activation_control_L20H5,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.5859375,-0.03125,2.4575300216674805,-0.012716019631286655
inactive_control_L21H2,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.5703125,-0.015625,2.4575300216674805,-0.006358009815643328
inactive_control_L22H8,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.5625,-0.0078125,2.4575300216674805,-0.003179004907821664
inactive_control_L22H3,literal,1234,8192,8192,0.5,915965,256554,1,-2.0971574783325195,-4.5546875,-2.303045908610026,-4.567708333333333,-0.013020833333333037,2.4575300216674805,-0.005298341513035986
address_L22H7,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.71484375,0.22005208333333304,2.9546953837076817,0.0744753873941489
address_L21H11,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.880208333333333,0.0546875,2.9546953837076817,0.01850867615712579
address_L22H10,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.904947916666667,0.029947916666666075,2.9546953837076817,0.010135703609854397
support_L20H7,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.94140625,-0.006510416666666963,2.9546953837076817,-0.0022034138282293605
support_L18H3,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.9453125,-0.010416666666666963,2.9546953837076817,-0.003525462125166917
support_L17H10,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.9453125,-0.010416666666666963,2.9546953837076817,-0.003525462125166917
support_L20H8,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.919270833333333,0.015625,2.9546953837076817,0.005288193187750225
support_L22H0,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.958333333333333,-0.0234375,2.9546953837076817,-0.007932289781625338
support_L22H4,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.932291666666667,0.0026041666666660745,2.9546953837076817,0.0008813655312915038
activation_control_L20H5,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.916666666666667,0.018229166666666075,2.9546953837076817,0.006169558719041729
inactive_control_L21H2,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.93359375,0.0013020833333330373,2.9546953837076817,0.0004406827656457519
inactive_control_L22H8,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.94921875,-0.014322916666666963,2.9546953837076817,-0.004847510422104473
inactive_control_L22H3,literal,1235,8192,8192,0.5,822782,347875,1,-1.9802004496256511,-4.934895833333333,-2.146705945332845,-4.927083333333333,0.0078125,2.9546953837076817,0.0026440965938751126
address_L22H7,literal,1236,8192,8191,0.5,659279,262639,1,-2.052634080251058,-4.911458333333333,-2.2403510411580405,-4.734375,0.17708333333333304,2.858824253082275,0.06194271408688679
address_L21H11,literal,1236,8192,8191,0.5,659279,262639,1,-2.052634080251058,-4.911458333333333,-2.2403510411580405,-4.885416666666667,0.026041666666666075,2.858824253082275,0.0091092226598361
address_L22H10,literal,1236,8192,8191,0.5,659279,262639,1,-2.052634080251058,-4.911458333333333,-2.2403510411580405,-4.919270833333333,-0.0078125,2.858824253082275,-0.002732766797950892
support_L20H7,literal,1236,8192,8191,0.5,659279,262639,1,-2.052634080251058,-4.911458333333333,-2.2403510411580405,-4.877604166666667,0.033854166666666075,2.858824253082275,0.011841989457786993
support_L18H3,literal,1236,8192,8191,0.5,659279,262639,1,-2.052634080251058,-4.911458333333333,-2.2403510411580405,-4.893229166666667,0.018229166666666075,2.858824253082275,0.006376455861885209
support_L17H10,literal,1236,8192,8191,0.5,659279,262639,1,-2.052634080251058,-4.911458333333333,-2.2403510411580405,-4.8828125,0.028645833333333037,2.858824253082275,0.010020144925819836
