variant,seed,target_tokens,actual_tokens,needle_frac,gold,layer,head,baseline_logprob,ablated_logprob,delta_logprob
literal,1234,8192,8191,0.1,915965,21,11,-2.0839297771453857,-2.2091742356618247,-0.12524445851643895
literal,1234,8192,8191,0.1,915965,22,7,-2.0839297771453857,-2.146477699279785,-0.06254792213439941
literal,1234,8192,8191,0.1,915965,18,3,-2.0839297771453857,-2.1985607941945395,-0.1146310170491538
literal,1234,8192,8191,0.1,915965,20,9,-2.0839297771453857,-2.1360127131144204,-0.05208293596903468
literal,1234,8192,8191,0.1,915965,17,3,-2.0839297771453857,-2.0421458085378013,0.04178396860758449
literal,1234,8192,8191,0.1,915965,22,10,-2.0839297771453857,-2.115183115005493,-0.03125333786010742
literal,1234,8192,8191,0.1,915965,23,4,-2.0839297771453857,-2.146418889363607,-0.06248911221822118
literal,1234,8192,8191,0.1,915965,20,3,-2.0839297771453857,-2.115187406539917,-0.03125762939453125
literal,1234,8192,8191,0.1,915965,0,3,-2.0839297771453857,-2.1151225566864014,-0.031192779541015625
literal,1234,8192,8191,0.1,915965,0,6,-2.0839297771453857,-2.104540745417277,-0.020610968271891128
literal,1234,8192,8191,0.1,915965,0,4,-2.0839297771453857,-2.1151623725891113,-0.031232595443725586
literal,1234,8192,8191,0.1,915965,0,7,-2.0839297771453857,-2.0839452743530273,-1.5497207641601562e-05
literal,1234,8192,8191,0.1,915965,0,8,-2.0839297771453857,-2.094247023264567,-0.010317246119181167
literal,1234,8192,8191,0.1,915965,21,9,-2.0839297771453857,-2.0110495885213218,0.07288018862406398
literal,1234,8192,8191,0.1,915965,20,2,-2.0839297771453857,-2.0630711714426675,0.020858605702718247
literal,1234,8192,8191,0.1,915965,19,1,-2.0839297771453857,-2.063074509302775,0.020855267842610825
literal,1234,8192,8191,0.1,915965,20,5,-2.0839297771453857,-2.0943159262339273,-0.010386149088541519
literal,1234,8192,8191,0.1,915965,0,11,-2.0839297771453857,-2.0631585915883384,0.020771185557047378
literal,1234,8192,8191,0.1,915965,0,2,-2.0839297771453857,-2.073490301767985,0.010439475377400864
literal,1234,8192,8191,0.1,915965,0,10,-2.0839297771453857,-2.042062203089396,0.04186757405598973
literal,1234,8192,8191,0.1,915965,0,0,-2.0839297771453857,-2.052742878595988,0.031186898549397934
literal,1234,8192,8191,0.1,915965,0,1,-2.0839297771453857,-2.0734800497690835,0.010449727376302231
literal,1234,8192,8191,0.1,915965,20,11,-2.0839297771453857,-2.0214229424794516,0.0625068346659341
literal,1234,8192,8191,0.1,915965,0,5,-2.0839297771453857,-2.0734787782033286,0.010450998942057144
literal,1234,8192,8191,0.1,915965,18,1,-2.0839297771453857,-2.0526912212371826,0.031238555908203125
literal,1234,8192,8191,0.1,915965,23,8,-2.0839297771453857,-2.063102642695109,0.02082713445027684
literal,1234,8192,8191,0.1,915965,20,10,-2.0839297771453857,-2.063120126724243,0.020809650421142578
literal,1234,8192,8191,0.1,915965,17,6,-2.0839297771453857,-2.083958069483439,-2.8292338053237387e-05
literal,1234,8192,8191,0.1,915965,20,0,-2.0839297771453857,-2.0631203651428223,0.020809412002563477
literal,1234,8192,8191,0.1,915965,21,4,-2.0839297771453857,-2.1464189688364663,-0.06248919169108058
literal,1234,8192,8191,0.1,915965,18,7,-2.0839297771453857,-2.094309091567993,-0.010379314422607422
literal,1234,8192,8191,0.1,915965,21,8,-2.0839297771453857,-2.11523175239563,-0.03130197525024414
literal,1234,8192,8191,0.1,915965,20,1,-2.0839297771453857,-2.0526445706685386,0.03128520647684718
literal,1234,8192,8191,0.1,915965,21,10,-2.0839297771453857,-2.1151774724324546,-0.031247695287068833
literal,1234,8192,8191,0.1,915965,22,6,-2.0839297771453857,-2.0631117026011148,0.02081807454427098
literal,1234,8192,8191,0.1,915965,17,8,-2.0839297771453857,-2.0630811055501304,0.020848671595255386
literal,1234,8192,8191,0.1,915965,20,7,-2.0839297771453857,-2.3756941159566245,-0.29176433881123875
literal,1234,8192,8191,0.1,915965,21,5,-2.0839297771453857,-2.125600973765055,-0.04167119661966945
literal,1234,8192,8191,0.1,915965,21,6,-2.0839297771453857,-2.0734757582346597,0.01045401891072606
literal,1234,8192,8191,0.1,915965,22,11,-2.0839297771453857,-2.063108046849569,0.02082173029581691
literal,1234,8192,8191,0.1,915965,17,2,-2.0839297771453857,-2.052880128224691,0.03104964892069484
literal,1234,8192,8191,0.1,915965,20,4,-2.0839297771453857,-2.1152151425679526,-0.03128536542256688
literal,1234,8192,8191,0.1,915965,21,2,-2.0839297771453857,-2.052673021952311,0.03125675519307469
literal,1234,8192,8191,0.1,915965,22,9,-2.0839297771453857,-2.083912213643392,1.7563501993667074e-05
literal,1234,8192,8191,0.1,915965,17,7,-2.0839297771453857,-2.031884511311849,0.052045265833536636
literal,1234,8192,8191,0.1,915965,21,7,-2.0839297771453857,-2.05267063776652,0.03125913937886571
literal,1234,8192,8191,0.1,915965,20,8,-2.0839297771453857,-2.1880406538645425,-0.10411087671915675
literal,1234,8192,8191,0.1,915965,22,8,-2.0839297771453857,-2.0839529832204184,-2.3206075032700113e-05
literal,1234,8192,8191,0.1,915965,17,10,-2.0839297771453857,-2.19850492477417,-0.11457514762878418
literal,1234,8192,8191,0.1,915965,21,3,-2.0839297771453857,-2.136038303375244,-0.0521085262298584
literal,1234,8192,8191,0.1,915965,22,2,-2.0839297771453857,-2.073521614074707,0.010408163070678711
literal,1234,8192,8191,0.1,915965,20,6,-2.0839297771453857,-2.115182558695475,-0.03125278155008937
literal,1234,8192,8191,0.1,915965,21,1,-2.0839297771453857,-2.136009613672892,-0.05207983652750636
literal,1234,8192,8191,0.1,915965,22,0,-2.0839297771453857,-2.1776950359344482,-0.0937652587890625
literal,1234,8192,8191,0.1,915965,22,5,-2.0839297771453857,-1.9276727040608723,0.15625707308451342
literal,1234,8192,8191,0.1,915965,21,0,-2.0839297771453857,-2.146423657735189,-0.06249388058980321
literal,1234,8192,8191,0.1,915965,17,9,-2.0839297771453857,-2.115187168121338,-0.03125739097595215
literal,1234,8192,8191,0.1,915965,22,3,-2.0839297771453857,-2.052676200866699,0.03125357627868652
literal,1234,8192,8191,0.1,915965,17,11,-2.0839297771453857,-2.0527102947235107,0.031219482421875
literal,1234,8192,8191,0.1,915965,22,4,-2.0839297771453857,-2.136026461919149,-0.05209668477376317
literal,1234,8192,8191,0.1,915965,22,1,-2.0839297771453857,-2.0735036532084146,0.010426123936971177
literal,1235,8192,8193,0.1,822782,21,11,-1.9383243719736736,-2.125936587651571,-0.1876122156778972
literal,1235,8192,8193,0.1,822782,22,7,-1.9383243719736736,-2.2091981569925943,-0.2708737850189207
literal,1235,8192,8193,0.1,822782,18,3,-1.9383243719736736,-2.021715005238851,-0.08339063326517748
literal,1235,8192,8193,0.1,822782,20,9,-1.9383243719736736,-2.0633224646250405,-0.12499809265136697
literal,1235,8192,8193,0.1,822782,17,3,-1.9383243719736736,-1.9590336084365845,-0.020709236462910896
literal,1235,8192,8193,0.1,822782,22,10,-1.9383243719736736,-2.000847657521566,-0.06252328554789233
literal,1235,8192,8193,0.1,822782,23,4,-1.9383243719736736,-1.9591375192006428,-0.020813147226969253
literal,1235,8192,8193,0.1,822782,20,3,-1.9383243719736736,-1.969573736190796,-0.031249364217122322
literal,1235,8192,8193,0.1,822782,0,3,-1.9383243719736736,-2.0322295824686685,-0.0939052104949949
literal,1235,8192,8193,0.1,822782,0,6,-1.9383243719736736,-2.083958109219869,-0.14563373724619555
literal,1235,8192,8193,0.1,822782,0,4,-1.9383243719736736,-2.011320193608602,-0.07299582163492846
literal,1235,8192,8193,0.1,822782,0,7,-1.9383243719736736,-1.969582239786784,-0.03125786781311035
literal,1235,8192,8193,0.1,822782,0,8,-1.9383243719736736,-1.969477613766988,-0.031153241793314468
literal,1235,8192,8193,0.1,822782,21,9,-1.9383243719736736,-1.8654075463612874,0.07291682561238622
literal,1235,8192,8193,0.1,822782,20,2,-1.9383243719736736,-1.9383596579233806,-3.528594970703125e-05
literal,1235,8192,8193,0.1,822782,19,1,-1.9383243719736736,-1.9382784366607666,4.5935312906975057e-05
literal,1235,8192,8193,0.1,822782,20,5,-1.9383243719736736,-1.9279121557871501,0.010412216186523438
literal,1235,8192,8193,0.1,822782,0,11,-1.9383243719736736,-1.9383938312530518,-6.94592793781812e-05
literal,1235,8192,8193,0.1,822782,0,2,-1.9383243719736736,-1.9696186383565266,-0.03129426638285304
literal,1235,8192,8193,0.1,822782,0,10,-1.9383243719736736,-1.9903210798899333,-0.051996707916259766
literal,1235,8192,8193,0.1,822782,0,0,-1.9383243719736736,-1.9176896413167317,0.02063473065694188
literal,1235,8192,8193,0.1,822782,0,1,-1.9383243719736736,-1.9800963401794434,-0.04177196820576978
literal,1235,8192,8193,0.1,822782,20,11,-1.9383243719736736,-1.9070768356323242,0.031247536341349358
literal,1235,8192,8193,0.1,822782,0,5,-1.9383243719736736,-1.9695769151051838,-0.03125254313151027
literal,1235,8192,8193,0.1,822782,18,1,-1.9383243719736736,-1.8862749735514324,0.05204939842224121
literal,1235,8192,8193,0.1,822782,23,8,-1.9383243719736736,-1.9590977032979329,-0.020773331324259292
literal,1235,8192,8193,0.1,822782,20,10,-1.9383243719736736,-1.9175439675649006,0.020780404408772934
literal,1235,8192,8193,0.1,822782,17,6,-1.9383243719736736,-2.011263449986776,-0.07293907801310229
literal,1235,8192,8193,0.1,822782,20,0,-1.9383243719736736,-1.9487239519755046,-0.010399580001831055
literal,1235,8192,8193,0.1,822782,21,4,-1.9383243719736736,-2.021690527598063,-0.08336615562438943
literal,1235,8192,8193,0.1,822782,18,7,-1.9383243719736736,-1.9487040042877197,-0.01037963231404615
literal,1235,8192,8193,0.1,822782,21,8,-1.9383243719736736,-1.959189732869466,-0.020865360895792495
literal,1235,8192,8193,0.1,822782,20,1,-1.9383243719736736,-1.9278918902079265,0.01043248176574707
literal,1235,8192,8193,0.1,822782,21,10,-1.9383243719736736,-2.0008633931477866,-0.06253902117411303
literal,1235,8192,8193,0.1,822782,22,6,-1.9383243719736736,-1.9487529595692952,-0.010428587595621597
literal,1235,8192,8193,0.1,822782,17,8,-1.9383243719736736,-1.9383281071980794,-3.7352244057764494e-06
literal,1235,8192,8193,0.1,822782,20,7,-1.9383243719736736,-2.094554344813029,-0.15622997283935525
literal,1235,8192,8193,0.1,822782,21,5,-1.9383243719736736,-1.9904389381408691,-0.052114566167195564
literal,1235,8192,8193,0.1,822782,21,6,-1.9383243719736736,-1.9070110321044922,0.03131333986918139
literal,1235,8192,8193,0.1,822782,22,11,-1.9383243719736736,-1.9382967154184978,2.765655517578125e-05
literal,1235,8192,8193,0.1,822782,17,2,-1.9383243719736736,-1.8759972254435222,0.06232714653015137
literal,1235,8192,8193,0.1,822782,20,4,-1.9383243719736736,-1.9487248261769612,-0.010400454203287612
literal,1235,8192,8193,0.1,822782,21,2,-1.9383243719736736,-1.9070107142130535,0.03131365776062012
literal,1235,8192,8193,0.1,822782,22,9,-1.9383243719736736,-1.9383100668589275,1.430511474609375e-05
literal,1235,8192,8193,0.1,822782,17,7,-1.9383243719736736,-1.896743377049764,0.04158099492390965
literal,1235,8192,8193,0.1,822782,21,7,-1.9383243719736736,-1.917500416437785,0.020823955535888672
literal,1235,8192,8193,0.1,822782,20,8,-1.9383243719736736,-2.021568536758423,-0.08324416478474927
literal,1235,8192,8193,0.1,822782,22,8,-1.9383243719736736,-1.9279409249623616,0.010383447011311997
literal,1235,8192,8193,0.1,822782,17,10,-1.9383243719736736,-2.021622578303019,-0.08329820632934548
literal,1235,8192,8193,0.1,822782,21,3,-1.9383243719736736,-2.0112173557281494,-0.07289298375447584
literal,1235,8192,8193,0.1,822782,22,2,-1.9383243719736736,-1.938320795694987,3.5762786865234375e-06
literal,1235,8192,8193,0.1,822782,20,6,-1.9383243719736736,-2.0008604526519775,-0.06253608067830396
literal,1235,8192,8193,0.1,822782,21,1,-1.9383243719736736,-2.000840346018473,-0.06251597404479958
literal,1235,8192,8193,0.1,822782,22,0,-1.9383243719736736,-2.000844399134318,-0.06252002716064431
literal,1235,8192,8193,0.1,822782,22,5,-1.9383243719736736,-1.8966957728068035,0.04162859916687012
literal,1235,8192,8193,0.1,822782,21,0,-1.9383243719736736,-2.0007998943328857,-0.062475522359212166
literal,1235,8192,8193,0.1,822782,17,9,-1.9383243719736736,-2.0113152662913003,-0.07299089431762673
literal,1235,8192,8193,0.1,822782,22,3,-1.9383243719736736,-1.9383403460184734,-1.5974044799804688e-05
literal,1235,8192,8193,0.1,822782,17,11,-1.9383243719736736,-1.938343604405721,-1.9232432047378012e-05
literal,1235,8192,8193,0.1,822782,22,4,-1.9383243719736736,-2.000813643137614,-0.06248927116394021
literal,1235,8192,8193,0.1,822782,22,1,-1.9383243719736736,-1.9279321829477947,0.010392189025878906
literal,1236,8192,8192,0.1,659279,21,11,-1.9796881675720215,-2.1257449785868325,-0.14605681101481105
