layer,head,mean_delta_logprob,rank,selection
20,7,-0.14775599638621012,1,neighborhood_single_head_mean_delta_lt_-0.03
21,11,-0.10962585806846618,2,neighborhood_single_head_mean_delta_lt_-0.03
22,7,-0.106705297032992,3,neighborhood_single_head_mean_delta_lt_-0.03
18,3,-0.08667633930842086,4,neighborhood_single_head_mean_delta_lt_-0.03
17,10,-0.0802340130011241,5,neighborhood_single_head_mean_delta_lt_-0.03
20,8,-0.07471972703933719,6,neighborhood_single_head_mean_delta_lt_-0.03
22,0,-0.07262142499287924,7,neighborhood_single_head_mean_delta_lt_-0.03
22,4,-0.06911900540192922,8,neighborhood_single_head_mean_delta_lt_-0.03
21,0,-0.06762297848860424,9,neighborhood_single_head_mean_delta_lt_-0.03
20,6,-0.05529518028100333,10,neighborhood_single_head_mean_delta_lt_-0.03
20,9,-0.05475282669067383,11,neighborhood_single_head_mean_delta_lt_-0.03
21,3,-0.05366053879261019,12,neighborhood_single_head_mean_delta_lt_-0.03
21,1,-0.052285904685656234,13,neighborhood_single_head_mean_delta_lt_-0.03
21,4,-0.04959747095902761,14,neighborhood_single_head_mean_delta_lt_-0.03
21,5,-0.047522699832916245,15,neighborhood_single_head_mean_delta_lt_-0.03
17,3,-0.0432321627934774,16,neighborhood_single_head_mean_delta_lt_-0.03
22,10,-0.03828263183434805,17,neighborhood_single_head_mean_delta_lt_-0.03
23,4,-0.03602237999439239,18,neighborhood_single_head_mean_delta_lt_-0.03
20,3,-0.03272341390450797,19,neighborhood_single_head_mean_delta_lt_-0.03
