layer,head,source
21,11,semantic_single_top12+patch_top24+far+candidate
22,7,semantic_single_top12+patch_top24+far+candidate
18,3,semantic_single_top12+patch_top24+near+candidate
20,9,semantic_single_top12+patch_top24+far+candidate
17,3,semantic_single_top12+patch_top24+near+candidate
22,10,semantic_single_top12+patch_top24+far+candidate
23,4,semantic_single_top12+patch_top24+candidate
20,3,semantic_single_top12+patch_top24+candidate
0,3,semantic_single_top12+patch_top24
0,6,semantic_single_top12+patch_top24+random_draw_union
0,4,semantic_single_top12+patch_top24+random_draw_union
0,7,semantic_single_top12+patch_top24+random_draw_union
0,8,patch_top24
21,9,patch_top24+far+candidate
20,2,patch_top24+far+candidate
19,1,patch_top24+far+candidate
20,5,patch_top24+far+candidate+random_draw_union
0,11,patch_top24+random_draw_union
0,2,patch_top24+random_draw_union
0,10,patch_top24
0,0,patch_top24+random_draw_union
0,1,patch_top24+random_draw_union
20,11,patch_top24+far+candidate+random_draw_union
0,5,patch_top24+random_draw_union
18,1,far+candidate
23,8,far+candidate
20,10,far+candidate+random_draw_union
17,6,far+candidate+random_draw_union
20,0,far+candidate+random_draw_union
21,4,near+random_draw_union
18,7,near
21,8,near+random_draw_union
20,1,random_draw_union
21,10,random_draw_union
22,6,random_draw_union
17,8,random_draw_union
20,7,random_draw_union
21,5,random_draw_union
21,6,random_draw_union
22,11,random_draw_union
17,2,random_draw_union
20,4,random_draw_union
21,2,random_draw_union
22,9,random_draw_union
17,7,random_draw_union
21,7,random_draw_union
20,8,random_draw_union
22,8,random_draw_union
17,10,random_draw_union
21,3,random_draw_union
22,2,random_draw_union
20,6,random_draw_union
21,1,random_draw_union
22,0,random_draw_union
22,5,random_draw_union
21,0,random_draw_union
17,9,random_draw_union
22,3,random_draw_union
17,11,random_draw_union
22,4,random_draw_union
22,1,random_draw_union
