group,layer,head,reason
address_L22H7,22,7,answer_address_highest_activation_delta_direct_attention
address_L21H11,21,11,answer_address_direct_attention_patch_candidate
address_L22H10,22,10,answer_address_high_activation_delta_direct_attention
support_L20H7,20,7,strongest_single_head_ablation_query_tail_support
support_L18H3,18,3,non_address_core_necessary_query_tail_support
support_L17H10,17,10,first_token_sink_necessary_support
support_L20H8,20,8,query_tail_support
support_L22H0,22,0,query_tail_support_high_activation_delta
support_L22H4,22,4,query_tail_support_high_activation_delta
activation_control_L20H5,20,5,activation_sensitive_but_single_head_ablation_null
inactive_control_L21H2,21,2,layer_matched_inactive_control
inactive_control_L22H8,22,8,layer_matched_inactive_control
inactive_control_L22H3,22,3,layer_matched_inactive_control
